vessel_id,block,length,width,height,weight,location
 SN2590, A420P,15.0,11.0,5.1,18.0,사내
 SN2611, D360S,15.0,13.0,4.2,23.0,사내
 SN2590, E530P,16.0,15.0,6.5,33.0,사내
 SN2611, E130P,14.0,11.0,7.8,5.0,사내
 SN2601, D35AP,16.0,11.0,2.2,17.0,사내
 SN2456, E410P,17.0,15.0,5.2,39.0,사내
 SN2603, E520P,22.0,14.0,5.6,75.0,사내
 SN2602, F210S,15.0,11.0,5.1,8.0,사내
 SN2607, E110S,18.0,17.0,7.8,26.0,사내
 SN2463, D39BS,20.0,11.0,2.0,19.0,사내
 SN2455, S100S,20.0,14.0,3.3,42.0,사내
 SN2456, E242C,11.0,7.0,5.2,3.0,사내
 SN2611, T510S,11.0,6.0,2.7,7.0,사내
 SN2607, E240C,21.0,15.0,4.0,73.0,사내
 SN2455, B200C,18.0,17.0,2.3,62.0,사내
 SN2598, T322S,16.0,11.0,3.0,38.0,사내
 SN2598, F522S,11.0,11.0,3.7,15.0,사내
 SN2611, D320S,16.0,14.0,4.2,25.0,사내
 SN2601, B131S,22.0,16.0,3.2,131.0,사내
 SN2611, E420S,21.0,17.0,5.7,72.0,사내
 SN2601, S111S,21.0,16.0,2.6,93.0,사내
 SN2591, S141S,15.0,11.0,2.3,31.0,사내
 SN2612, E311P,15.0,11.0,3.2,20.0,사내
 SN2603, D371S,20.0,14.0,4.1,48.0,사내
 SN2458, S16AP,21.0,11.0,1.8,56.0,사내
 SN2614, E520P,15.0,15.0,7.2,34.0,사내
 SN2615, M510P,16.0,11.0,3.1,34.0,사내
 SN2616, E33DS,11.0,7.0,1.1,5.0,사내
 SN2611, D310P,20.0,14.0,5.3,32.0,사내
 SN2598, B130P,17.0,16.0,3.1,50.0,사내
 SN2614, E530P,16.0,15.0,6.5,33.0,사내
 SN2598, S141P,16.0,16.0,2.6,78.0,사내
 SN2612, M610C,20.0,18.0,3.3,60.0,사내
 SN2455, M410S,19.0,12.0,3.4,46.0,사내
 SN2611, D820S,11.0,4.0,4.1,2.0,사내
 SN2463, E312P,16.0,11.0,3.5,34.0,사내
 SN2615, M120P,11.0,11.0,4.4,25.0,사내
 SN2453, B200C,18.0,17.0,2.3,62.0,사내
 SN2611, E230S,17.0,13.0,4.7,28.0,사내
 SN2601, T110S,16.0,15.0,2.8,88.0,사내
 SN2597, D370P,21.0,14.0,4.4,35.0,사내
 SN2455, F310S,16.0,14.0,7.8,29.0,사내
 SN2603, D730S,19.0,11.0,6.2,19.0,사내
 SN2627, E340S,16.0,13.0,6.7,23.0,사내
 SN2598, S121S,20.0,16.0,2.6,95.0,사내
 SN2455, M710P,15.0,11.0,3.3,63.0,사내
 SN2598, F44AS,11.0,9.0,4.2,9.0,사내
 SN2597, E520S,22.0,14.0,5.6,63.0,사내
 SN2598, S111S,21.0,16.0,2.6,101.0,사내
 SN2627, S093P,12.0,11.0,2.5,17.0,사내
 SN2612, E322S,13.0,11.0,3.1,14.0,사내
 SN2614, E540P,15.0,14.0,3.4,33.0,사내
 SN2615, E410S,18.0,15.0,5.4,42.0,사내
 SN2457, E110P,16.0,12.0,7.6,19.0,사내
 SN2598, S113P,21.0,11.0,2.8,32.0,사내
 SN2615, S08AS,15.0,11.0,1.8,8.0,사내
 SN2607, E320P,16.0,13.0,4.9,27.0,사내
 SN2601, E230S,17.0,13.0,4.3,28.0,사내
