id,vessel_id,block,width,length,height,weight
0, SN2597, D360P,15.5,21.0,5.8,27.0
1, SN2597, F230C,15.5,21.0,5.8,6.0
2, SN2598, E350C,15.5,21.0,5.8,49.0
3, SN2615, E64AC,15.5,21.0,5.8,6.0
4, SN2616, E322P,15.5,21.0,5.8,27.0
5, SN2455, W820S,15.5,21.0,5.8,18.0
6, SN2614, S180S,15.5,21.0,5.8,15.0
7, SN2603, F131S,15.5,21.0,5.8,13.0
8, SN2603, D211S,15.5,21.0,5.8,43.0
9, SN2612, E521P,15.5,21.0,5.8,11.0
10, SN2614, F520S,15.5,21.0,5.8,13.0
11, SN2614, S610S,15.5,21.0,5.8,2.0
12, SN2591, H160P,15.5,21.0,5.8,14.0
13, SN2627, Y900C,15.5,21.0,5.8,52.0
14, SN2463, E321P,15.5,21.0,5.8,9.0
15, SN2601, T520P,15.5,21.0,5.8,3.0
16, SN2607, E311S,15.5,21.0,5.8,22.0
17, SN2591, D360S,15.5,21.0,5.8,35.0
18, SN2455, W820P,15.5,21.0,5.8,18.0
19, SN2454, S621S,15.5,21.0,5.8,38.0
20, SN2455, M320S,15.5,21.0,5.8,17.0
21, SN2612, E422P,15.5,21.0,5.8,16.0
22, SN2602, D211P,15.5,21.0,5.8,44.0
23, SN2616, E33CS,15.5,21.0,5.8,6.0
24, SN2456, A12CS,15.5,21.0,5.8,5.0
25, SN2627, S101S,15.5,21.0,5.8,41.0
26, SN2603, D191P,15.5,21.0,5.8,33.0
27, SN2607, E522S,15.5,21.0,5.8,11.0
28, SN2603, D191S,15.5,21.0,5.8,31.0
29, SN2457, E511S,15.5,21.0,5.8,19.0
30, SN2455, A220S,15.5,21.0,5.8,38.0
31, SN2611, D411S,15.5,21.0,5.8,43.0
32, SN2603, B201P,15.5,21.0,5.8,52.0
33, SN2615, S141S,15.5,21.0,5.8,31.0
34,,,15.5,21.0,5.8,
35,,,15.5,21.0,5.8,
36,,,15.5,21.0,5.8,
37,,,15.5,21.0,5.8,
38,,,15.5,21.0,5.8,
39,,,15.5,21.0,5.8,
