id,vessel_id,block,width,length,height,weight
0, SN2611, B120P,22.0,25.0,inf,68.0
1, SN2611, T340P,22.0,25.0,inf,47.0
2, SN2615, D550P,11.0,22.0,inf,8.0
3, SN2602, D211S,22.0,25.0,inf,43.0
4, SN2611, F311P,22.0,25.0,inf,25.0
5, SN2601, M310P,22.0,25.0,inf,63.0
6, SN2453, S400S,22.0,25.0,inf,76.0
7, SN2457, E210S,22.0,25.0,inf,32.0
8, SN2611, A210P,22.0,25.0,inf,53.0
9, SN2612, E322P,13.0,22.0,inf,13.0
10, SN2597, D350P,22.0,25.0,inf,26.0
11, SN2601, T321S,22.0,25.0,inf,74.0
12, SN2603, E420S,22.0,25.0,inf,72.0
13, SN2456, E120C,22.0,25.0,inf,25.0
14, SN2598, B141S,22.0,25.0,inf,98.0
15, SN2602, D620S,13.0,22.0,inf,46.0
16, SN2615, E410P,22.0,25.0,inf,40.0
17, SN2611, S130P,22.0,25.0,inf,60.0
18, SN2602, D350P,22.0,25.0,inf,24.0
19, SN2616, S36XS,13.0,22.0,inf,21.0
20, SN2602, F310P,22.0,25.0,inf,9.0
21, SN2615, S082P,11.0,22.0,inf,9.0
22, SN2455, M920S,12.0,22.0,inf,17.0
23, SN2611, D171P,22.0,25.0,inf,46.0
24, SN2602, D390P,22.0,25.0,inf,24.0
25, SN2601, D131P,22.0,25.0,inf,38.0
26, SN2456, B121S,22.0,25.0,inf,58.0
27, SN2611, D330P,22.0,25.0,inf,24.0
28, SN2612, E512S,11.0,22.0,inf,14.0
29, SN2591, E332S,11.0,22.0,inf,5.0
30, SN2597, E540C,22.0,25.0,inf,84.0
31, SN2591, E353C,11.0,22.0,inf,3.0
32, SN2612, E120S,12.0,22.0,inf,1.0
33, SN2601, B140P,22.0,25.0,inf,71.0
34, SN2590, S210S,22.0,25.0,inf,17.0
35, SN2627, E320S,22.0,25.0,inf,36.0
36, SN2614, E520S,22.0,25.0,inf,30.0
37, SN2599, E11CS,11.0,22.0,inf,9.0
38, SN2463, H11AP,22.0,25.0,inf,15.0
39, SN2597, D181S,22.0,25.0,inf,34.0
40, SN2456, E611S,22.0,25.0,inf,17.0
41, SN2454, F220C,13.0,22.0,inf,8.0
42, SN2611, D141S,22.0,25.0,inf,52.0
43, SN2456, A12CP,13.0,22.0,inf,5.0
44, SN2601, M410S,22.0,25.0,inf,63.0
45, SN2598, D311S,22.0,25.0,inf,53.0
46, SN2456, B191P,22.0,25.0,inf,71.0
47, SN2612, T331S,22.0,25.0,inf,76.0
48, SN2607, E541S,11.0,22.0,inf,5.0
49, SN2601, D715S,11.0,22.0,inf,6.0
50, SN2456, D292P,13.0,22.0,inf,7.0
51, SN2607, M120S,22.0,25.0,inf,58.0
52, SN2611, E520P,22.0,25.0,inf,74.0
53, SN2590, F730S,22.0,25.0,inf,22.0
54, SN2590, S210P,22.0,25.0,inf,17.0
55, SN2627, S100P,22.0,25.0,inf,41.0
56, SN2597, D620S,22.0,25.0,inf,24.0
57, SN2607, F11AP,22.0,25.0,inf,18.0
58, SN2598, T120S,22.0,25.0,inf,22.0
59, SN2627, H310P,22.0,25.0,inf,36.0
60, SN2615, M510S,22.0,25.0,inf,25.0
61, SN2603, E410S,22.0,25.0,inf,58.0
62, SN2591, A221S,22.0,25.0,inf,46.0
63, SN2405, D640S,13.0,22.0,inf,18.0
64, SN2452, S230P,22.0,25.0,inf,22.0
65, SN2611, D320P,22.0,25.0,inf,25.0
66, SN2601, T120P,22.0,25.0,inf,43.0
67,,,22.0,25.0,inf,
68,,,22.0,25.0,inf,
69,,,22.0,25.0,inf,
70,,,22.0,25.0,inf,
71,,,22.0,25.0,inf,
72,,,22.0,25.0,inf,
73,,,22.0,25.0,inf,
74,,,22.0,25.0,inf,
75,,,22.0,25.0,inf,
76,,,22.0,25.0,inf,
77,,,22.0,25.0,inf,
78,,,22.0,25.0,inf,
79,,,22.0,25.0,inf,
80,,,22.0,25.0,inf,
81,,,22.0,25.0,inf,
82,,,22.0,25.0,inf,
83,,,22.0,25.0,inf,
2,,,14.0,22.0,inf,
9,,,12.0,22.0,inf,
15,,,12.0,22.0,inf,
19,,,12.0,22.0,inf,
21,,,14.0,22.0,inf,
22,,,13.0,22.0,inf,
28,,,14.0,22.0,inf,
29,,,14.0,22.0,inf,
31,,,14.0,22.0,inf,
32,,,13.0,22.0,inf,
37,,,14.0,22.0,inf,
41,,,12.0,22.0,inf,
43,,,12.0,22.0,inf,
48,,,14.0,22.0,inf,
49,,,14.0,22.0,inf,
50,,,12.0,22.0,inf,
63,,,12.0,22.0,inf,
