id,vessel_id,block,width,length,height,weight
0,,,23.0,25.0,inf,
1,,,23.0,25.0,inf,
2,,,23.0,25.0,inf,
3,,,23.0,25.0,inf,
4,,,23.0,25.0,inf,
5,,,23.0,25.0,inf,
6,,,23.0,25.0,inf,
7,,,23.0,25.0,inf,
8,,,23.0,25.0,inf,
9,,,23.0,25.0,inf,
14,,,16.0,16.0,inf,
15,,,16.0,16.0,inf,
17,,,16.0,21.0,inf,
18,,,16.0,21.0,inf,
23,,,17.0,24.0,inf,
24,,,17.0,24.0,inf,
25,,,17.0,24.0,inf,
10, SN2614, E520P,16.0,16.0,inf,34.0
11, SN2657, E412P,16.0,16.0,inf,15.0
12, SN2614, F623S,16.0,16.0,inf,5.0
13, SN2597, F310P,16.0,16.0,inf,10.0
16, SN2612, E31AP,16.0,21.0,inf,18.0
19, SN2457, E413S,17.0,24.0,inf,25.0
20, SN2602, F430C,17.0,24.0,inf,8.0
21, SN2612, A110P,11.0,17.0,inf,19.0
22, SN2611, B201P,17.0,24.0,inf,52.0
21,,,13.0,17.0,inf,
