vessel_id,block,length,width,height,weight,location
 SN2603, D770S,11.0,8.0,3.7,7.0,덕곡2
 SN2601, B140S,21.0,16.0,3.2,70.0,사내
 SN2608, E113P,18.0,11.0,3.1,21.0,사내
 SN2627, F510S,19.0,15.0,5.2,28.0,봉암8
 SN2455, S180P,29.0,18.0,5.4,39.0,사내
 SN2615, M210P,16.0,11.0,4.1,44.0,신한내
 SN2590, F210C,18.0,16.0,5.2,19.0,사내
 SN2611, F110P,15.0,13.0,3.5,21.0,사내
 SN2627, A110C,12.0,11.0,11.2,27.0,사내
 SN2601, B120P,20.0,16.0,3.2,70.0,사내
 SN2602, G510P,11.0,5.0,1.6,2.0,한내
 SN2596, D730S,14.0,14.0,6.7,24.0,성동
 SN2603, D401S,18.0,14.0,4.1,37.0,봉암8
 SN2598, E310S,15.0,14.0,5.1,26.0,사내
 SN2601, E230S,17.0,13.0,4.3,28.0,사내
 SN2627, H120S,19.0,11.0,6.6,16.0,사내
 SN2590, E660C,18.0,11.0,5.5,35.0,사내
 SN2614, F520P,13.0,11.0,5.2,11.0,사내
 SN2601, H130S,22.0,12.0,6.5,37.0,오비1
 SN2603, T350S,16.0,16.0,2.8,32.0,사내
 SN2602, E510P,21.0,14.0,5.3,49.0,신한내
 SN2607, E233P,11.0,10.0,4.1,18.0,사내
 SN2590, A430C,15.0,11.0,2.8,23.0,사내
 SN2601, E540C,22.0,19.0,5.2,83.0,사내
 SN2456, A12CP,13.0,11.0,2.6,5.0,신한내
 SN2456, E512S,19.0,11.0,2.0,19.0,봉암9
 SN2455, D390P,21.0,16.0,6.6,72.0,성동
 SN2615, S180P,17.0,12.0,4.5,15.0,덕곡2
 SN2611, T330P,18.0,17.0,2.9,48.0,사내
 SN2603, A110P,11.0,7.0,11.5,19.0,사내
 SN2611, S110P,22.0,21.0,8.3,62.0,사내
 SN2612, E322S,13.0,11.0,3.1,14.0,사내
 SN2455, F520P,16.0,14.0,5.2,22.0,봉암9
 SN2597, T350P,17.0,16.0,4.5,36.0,사내
 SN2590, E520P,15.0,15.0,7.2,34.0,사내
 SN2463, D39AP,21.0,11.0,2.0,16.0,사내
 SN2603, E540C,24.0,19.0,5.2,97.0,덕곡1
 SN2616, E41AS,15.0,11.0,3.9,15.0,덕곡2
 SN2453, S390P,20.0,11.0,5.9,48.0,한내
 SN2463, D39AS,20.0,11.0,2.0,13.0,성동
