id,vessel_id,block,width,length,height,weight
0, SN2457, E241S,23.0,25.0,inf,36.0
1, SN2603, D391P,23.0,25.0,inf,36.0
2, SN2601, M410S,23.0,25.0,inf,63.0
3, SN2456, A12CP,13.0,23.0,inf,5.0
4, SN2598, T322P,15.0,23.0,inf,33.0
5, SN2455, T260C,11.0,23.0,inf,16.0
6, SN2612, E532P,11.0,23.0,inf,3.0
7, SN2607, M310S,23.0,25.0,inf,68.0
8, SN2598, D311P,23.0,25.0,inf,52.0
9, SN2603, D201S,11.0,25.0,inf,36.0
10, SN2615, D350P,15.0,23.0,inf,28.0
11, SN2615, M210P,16.0,23.0,inf,44.0
12, SN2627, D280P,23.0,25.0,inf,35.0
13, SN2456, E120C,23.0,25.0,inf,25.0
14, SN2455, M410S,23.0,25.0,inf,46.0
15, SN2611, S130P,23.0,25.0,inf,60.0
16, SN2455, E580S,11.0,23.0,inf,10.0
17, SN2454, S411P,23.0,25.0,inf,63.0
18, SN2598, B131S,23.0,25.0,inf,111.0
19, SN2612, E514P,11.0,25.0,inf,16.0
20, SN2596, D710S,23.0,25.0,inf,51.0
21, SN2597, E540C,23.0,25.0,inf,84.0
22, SN2601, E420P,23.0,25.0,inf,62.0
23, SN2598, D311S,23.0,25.0,inf,53.0
24, SN2455, S230S,23.0,25.0,inf,23.0
25, SN2598, T110P,23.0,25.0,inf,77.0
26, SN2612, M510P,23.0,25.0,inf,71.0
27, SN2456, E373S,14.0,23.0,inf,15.0
28, SN2603, E420S,23.0,25.0,inf,72.0
29, SN2607, E320P,23.0,25.0,inf,27.0
30, SN2602, E510P,23.0,25.0,inf,49.0
31, SN2616, E43AP,11.0,23.0,inf,7.0
32, SN2598, E410S,23.0,25.0,inf,98.0
33, SN2611, F521P,16.0,23.0,inf,11.0
34,,,23.0,25.0,inf,
35,,,23.0,25.0,inf,
36,,,23.0,25.0,inf,
37,,,23.0,25.0,inf,
38,,,23.0,25.0,inf,
39,,,23.0,25.0,inf,
40,,,23.0,25.0,inf,
3,,,12.0,23.0,inf,
4,,,10.0,23.0,inf,
5,,,14.0,23.0,inf,
6,,,14.0,23.0,inf,
9,,,12.0,25.0,inf,
10,,,10.0,23.0,inf,
11,,,9.0,23.0,inf,
16,,,14.0,23.0,inf,
19,,,12.0,25.0,inf,
27,,,11.0,23.0,inf,
31,,,14.0,23.0,inf,
33,,,9.0,23.0,inf,
