id,vessel_id,block,width,length,height,weight
0, SN2601, E310P,16.0,23.0,inf,26.0
1, SN2598, S113S,16.0,23.0,inf,32.0
2, SN2603, D710S,16.0,23.0,inf,7.0
3, SN2598, S113P,16.0,23.0,inf,32.0
4, SN2599, E11CS,11.0,16.0,inf,9.0
5, SN2611, T140P,16.0,23.0,inf,33.0
6, SN2611, M110P,16.0,23.0,inf,84.0
7,,,16.0,23.0,inf,
8,,,16.0,23.0,inf,
9,,,16.0,23.0,inf,
17,,,19.0,24.0,inf,
18,,,19.0,24.0,inf,
26,,,23.0,25.0,inf,
27,,,23.0,25.0,inf,
28,,,23.0,25.0,inf,
10, SN2611, D130C,19.0,24.0,inf,48.0
11, SN2603, B120P,19.0,24.0,inf,68.0
12, SN2612, T331S,19.0,24.0,inf,76.0
13, SN2602, D130C,19.0,24.0,inf,48.0
14, SN2598, B131S,19.0,24.0,inf,111.0
15, SN2603, B110P,19.0,24.0,inf,65.0
16, SN2598, M510P,19.0,24.0,inf,72.0
19, SN2602, D140C,23.0,25.0,inf,57.0
20, SN2612, M510P,23.0,25.0,inf,71.0
21, SN2611, S160P,23.0,25.0,inf,57.0
22, SN2597, D200C,23.0,25.0,inf,47.0
23, SN2597, E540C,23.0,25.0,inf,84.0
24, SN2597, F520P,23.0,25.0,inf,84.0
25, SN2611, S140P,23.0,25.0,inf,62.0
4,,,12.0,16.0,inf,
