id,vessel_id,block,width,length,height,weight
0, SN2611, D131P,15.5,21.0,5.8,36.0
1, SN2614, S180S,15.5,21.0,5.8,15.0
2, SN2590, A420S,15.5,21.0,5.8,18.0
3, SN2456, E341S,15.5,21.0,5.8,32.0
4, SN2591, E130C,15.5,21.0,5.8,3.0
5, SN2627, E410S,15.5,21.0,5.8,34.0
6, SN2463, E24AP,15.5,21.0,5.8,7.0
7, SN2611, D401S,15.5,21.0,5.8,37.0
8, SN2457, E62AP,15.5,21.0,5.8,18.0
9, SN2455, M920S,15.5,21.0,5.8,17.0
10, SN2453, C710P,15.5,21.0,5.8,9.0
11, SN2598, D331P,15.5,21.0,5.8,39.0
12, SN2463, D39BS,15.5,21.0,5.8,19.0
13, SN2463, H11AP,15.5,21.0,5.8,15.0
14, SN2598, D351P,15.5,21.0,5.8,39.0
15, SN2627, S100P,15.5,21.0,5.8,41.0
16, SN2611, D360P,15.5,21.0,5.8,23.0
17, SN2457, A312S,15.5,21.0,5.8,11.0
18, SN2456, D391S,15.5,21.0,5.8,18.0
19, SN2603, D371P,15.5,21.0,5.8,48.0
20, SN2615, M210P,15.5,21.0,5.8,44.0
21, SN2603, D720S,15.5,21.0,5.8,32.0
22, SN2601, D715S,15.5,21.0,5.8,6.0
23, SN2616, E312P,15.5,21.0,5.8,5.0
24, SN2614, E370P,15.5,21.0,5.8,6.0
25, SN2590, A420P,15.5,21.0,5.8,18.0
26, SN2602, D340P,15.5,21.0,5.8,31.0
27, SN2456, E611P,15.5,21.0,5.8,16.0
28, SN2591, E410S,15.5,21.0,5.8,42.0
29, SN2598, D722S,15.5,21.0,5.8,15.0
30, SN2601, T720P,15.5,21.0,5.8,14.0
31, SN2602, D400P,15.5,21.0,5.8,30.0
32, SN2591, H160S,15.5,21.0,5.8,14.0
33, SN2611, D381S,15.5,21.0,5.8,35.0
34, SN2456, E120C,15.5,21.0,5.8,25.0
35, SN2611, D740S,15.5,21.0,5.8,49.0
36, SN2611, D330S,15.5,21.0,5.8,24.0
37,,,15.5,21.0,5.8,
38,,,15.5,21.0,5.8,
39,,,15.5,21.0,5.8,
40,,,15.5,21.0,5.8,
41,,,15.5,21.0,5.8,
42,,,15.5,21.0,5.8,
43,,,15.5,21.0,5.8,
44,,,15.5,21.0,5.8,
45,,,15.5,21.0,5.8,
46,,,15.5,21.0,5.8,
47,,,15.5,21.0,5.8,
48,,,15.5,21.0,5.8,
49,,,15.5,21.0,5.8,
