id,vessel_id,block,width,length,height,weight
0, SN2611, E410P,22.0,25.0,inf,58.0
1, SN2626, E620S,22.0,25.0,inf,111.0
2, SN2615, D550P,11.0,22.0,inf,8.0
3, SN2603, D320S,22.0,25.0,inf,26.0
4, SN2601, D711S,22.0,25.0,inf,16.0
5, SN2456, A12BS,11.0,22.0,inf,4.0
6, SN2590, F520S,13.0,22.0,inf,13.0
7, SN2601, S111P,22.0,25.0,inf,93.0
8, SN2455, F640P,22.0,25.0,inf,15.0
9, SN2616, S36XP,13.0,22.0,inf,21.0
10, SN2607, M110P,22.0,25.0,inf,83.0
11, SN2615, D180C,22.0,25.0,inf,19.0
12, SN2453, S390S,22.0,25.0,inf,48.0
13, SN2603, E530C,22.0,25.0,inf,102.0
14, SN2454, S401P,22.0,25.0,inf,74.0
15, SN2598, S130S,22.0,25.0,inf,49.0
16, SN2591, E44XS,22.0,25.0,inf,5.0
17, SN2607, M410P,22.0,25.0,inf,65.0
18, SN2611, F522S,12.0,22.0,inf,15.0
19, SN2591, B170P,11.0,22.0,inf,12.0
20, SN2607, E522S,11.0,22.0,inf,11.0
21, SN2603, H110S,22.0,25.0,inf,34.0
22, SN2603, E380C,22.0,25.0,inf,14.0
23, SN2454, C820S,22.0,25.0,inf,8.0
24, SN2611, E230S,22.0,25.0,inf,28.0
25, SN2463, D29BP,13.0,22.0,inf,7.0
26, SN2611, B120P,22.0,25.0,inf,68.0
27, SN2615, D550S,11.0,22.0,inf,8.0
28, SN2603, D161S,22.0,25.0,inf,34.0
29, SN2456, D391S,22.0,25.0,inf,18.0
30, SN2611, K180C,22.0,25.0,inf,31.0
31, SN2602, D170C,22.0,25.0,inf,57.0
32, SN2615, E61AP,11.0,22.0,inf,7.0
33, SN2615, M410S,22.0,25.0,inf,39.0
34, SN2611, E380C,22.0,25.0,inf,14.0
35, SN2615, S082S,11.0,22.0,inf,9.0
36, SN2607, M120S,22.0,25.0,inf,58.0
37, SN2601, M510P,22.0,25.0,inf,69.0
38, SN2627, D180P,22.0,25.0,inf,41.0
39, SN2590, H200P,22.0,25.0,inf,17.0
40, SN2598, M900S,11.0,22.0,inf,2.0
41, SN2603, D161P,22.0,25.0,inf,34.0
42, SN2601, D341S,22.0,25.0,inf,52.0
43, SN2455, D390P,22.0,25.0,inf,72.0
44, SN2598, Y900S,11.0,22.0,inf,23.0
45, SN2590, E650C,22.0,25.0,inf,57.0
46, SN2463, D39BP,22.0,25.0,inf,15.0
47, SN2602, F540C,22.0,25.0,inf,61.0
48, SN2457, E241S,22.0,25.0,inf,36.0
49, SN2590, A420S,22.0,25.0,inf,18.0
50, SN2612, E311S,22.0,25.0,inf,22.0
51, SN2455, E510S,22.0,25.0,inf,46.0
52, SN2627, B120P,22.0,25.0,inf,54.0
53, SN2601, S122P,22.0,25.0,inf,21.0
54, SN2454, F310S,22.0,25.0,inf,29.0
55, SN2615, M510P,22.0,25.0,inf,34.0
56, SN2591, D350S,22.0,25.0,inf,30.0
57, SN2611, T151C,22.0,25.0,inf,98.0
58, SN2612, M510P,22.0,25.0,inf,71.0
59, SN2452, E710P,22.0,25.0,inf,84.0
60, SN2607, E232P,12.0,22.0,inf,26.0
61, SN2603, E310P,22.0,25.0,inf,25.0
62, SN2603, D181P,22.0,25.0,inf,30.0
63, SN2615, A421S,11.0,22.0,inf,8.0
64, SN2603, H110P,22.0,25.0,inf,34.0
65, SN2453, S630P,22.0,25.0,inf,19.0
66, SN2455, M910P,22.0,25.0,inf,32.0
67, SN2598, E310P,22.0,25.0,inf,26.0
68, SN2611, T340P,22.0,25.0,inf,47.0
69, SN2612, E422P,12.0,22.0,inf,16.0
70, SN2603, F121S,22.0,25.0,inf,32.0
71,,,22.0,25.0,inf,
72,,,22.0,25.0,inf,
73,,,22.0,25.0,inf,
74,,,22.0,25.0,inf,
75,,,22.0,25.0,inf,
76,,,22.0,25.0,inf,
77,,,22.0,25.0,inf,
78,,,22.0,25.0,inf,
79,,,22.0,25.0,inf,
80,,,22.0,25.0,inf,
81,,,22.0,25.0,inf,
82,,,22.0,25.0,inf,
83,,,22.0,25.0,inf,
2,,,14.0,22.0,inf,
5,,,14.0,22.0,inf,
6,,,12.0,22.0,inf,
9,,,12.0,22.0,inf,
18,,,13.0,22.0,inf,
19,,,14.0,22.0,inf,
20,,,14.0,22.0,inf,
25,,,12.0,22.0,inf,
27,,,14.0,22.0,inf,
32,,,14.0,22.0,inf,
35,,,14.0,22.0,inf,
40,,,14.0,22.0,inf,
44,,,14.0,22.0,inf,
60,,,13.0,22.0,inf,
63,,,14.0,22.0,inf,
69,,,13.0,22.0,inf,
