id,vessel_id,block,width,length,height,weight
0, SN2457, E413S,14.0,25.0,inf,25.0
1, SN2614, F721S,14.0,25.0,inf,17.0
2, SN2615, S08AP,14.0,25.0,inf,8.0
3, SN2603, D730S,14.0,25.0,inf,19.0
4, SN2457, E62CS,14.0,25.0,inf,18.0
5, SN2457, E511P,13.0,14.0,inf,21.0
6, SN2615, E330P,14.0,25.0,inf,10.0
7, SN2601, A110P,11.0,14.0,inf,16.0
8, SN2453, S630S,14.0,25.0,inf,19.0
9, SN2456, A12DS,11.0,14.0,inf,5.0
10, SN2598, F421S,14.0,25.0,inf,22.0
11, SN2457, H14AS,12.0,14.0,inf,3.0
12, SN2603, D121S,14.0,25.0,inf,33.0
13, SN2590, S200P,14.0,25.0,inf,19.0
14, SN2596, Y540P,12.0,14.0,inf,22.0
15, SN2611, F110P,14.0,25.0,inf,21.0
16, SN2614, S820P,14.0,25.0,inf,34.0
17, SN2602, D630S,13.0,14.0,inf,13.0
18, SN2452, E710S,14.0,25.0,inf,88.0
19, SN2603, E360C,11.0,14.0,inf,6.0
20, SN2603, D710S,14.0,25.0,inf,7.0
21, SN2627, E470S,11.0,14.0,inf,2.0
22, SN2601, E230P,14.0,25.0,inf,28.0
23, SN2611, D330S,14.0,25.0,inf,24.0
24, SN2456, E231P,14.0,25.0,inf,40.0
25, SN2603, D411P,14.0,25.0,inf,43.0
26, SN2591, D180C,14.0,25.0,inf,19.0
27, SN2615, D360P,14.0,25.0,inf,37.0
28, SN2627, E470P,11.0,14.0,inf,4.0
29, SN2601, D714S,14.0,25.0,inf,22.0
30, SN2615, S350S,14.0,25.0,inf,16.0
31, SN2591, D170C,14.0,25.0,inf,12.0
32, SN2611, M110S,14.0,25.0,inf,79.0
33, SN2602, D380S,14.0,25.0,inf,25.0
34, SN2603, H120S,14.0,25.0,inf,35.0
35, SN2601, B202P,14.0,25.0,inf,11.0
36, SN2598, S113P,14.0,25.0,inf,32.0
37, SN2603, H140S,14.0,25.0,inf,33.0
38, SN2599, E11CP,11.0,14.0,inf,9.0
39, SN2457, E110P,14.0,25.0,inf,19.0
40, SN2598, H150S,14.0,25.0,inf,14.0
41, SN2616, S35XP,14.0,25.0,inf,20.0
42, SN2463, B11AS,14.0,25.0,inf,33.0
43, SN2615, E460C,11.0,14.0,inf,18.0
44, SN2611, E130P,14.0,25.0,inf,5.0
45, SN2591, H170P,11.0,14.0,inf,10.0
46, SN2454, F220C,13.0,14.0,inf,8.0
47, SN2615, M120S,11.0,14.0,inf,24.0
48, SN2627, S180S,14.0,25.0,inf,24.0
49, SN2455, M900P,11.0,14.0,inf,4.0
50,,,14.0,25.0,inf,
51,,,14.0,25.0,inf,
52,,,14.0,25.0,inf,
53,,,14.0,25.0,inf,
54,,,14.0,25.0,inf,
55,,,14.0,25.0,inf,
56,,,14.0,25.0,inf,
57,,,14.0,25.0,inf,
58,,,14.0,25.0,inf,
59,,,14.0,25.0,inf,
60,,,14.0,25.0,inf,
61,,,14.0,25.0,inf,
62,,,14.0,25.0,inf,
63,,,14.0,25.0,inf,
64,,,14.0,25.0,inf,
65,,,14.0,25.0,inf,
66,,,14.0,25.0,inf,
67,,,14.0,25.0,inf,
68,,,14.0,25.0,inf,
5,,,12.0,14.0,inf,
7,,,14.0,14.0,inf,
9,,,14.0,14.0,inf,
11,,,13.0,14.0,inf,
14,,,13.0,14.0,inf,
17,,,12.0,14.0,inf,
19,,,14.0,14.0,inf,
21,,,14.0,14.0,inf,
28,,,14.0,14.0,inf,
38,,,14.0,14.0,inf,
43,,,14.0,14.0,inf,
45,,,14.0,14.0,inf,
46,,,12.0,14.0,inf,
47,,,14.0,14.0,inf,
49,,,14.0,14.0,inf,
