id,vessel_id,block,width,length,height,weight
0, SN2615, D350P,16.0,25.0,inf,28.0
1, SN2455, M510P,16.0,25.0,inf,54.0
2, SN2597, D310P,16.0,25.0,inf,34.0
3, SN2603, D191S,16.0,25.0,inf,31.0
4, SN2602, D640S,16.0,25.0,inf,28.0
5, SN2611, A110P,11.0,16.0,inf,19.0
6, SN2591, D170C,16.0,25.0,inf,12.0
7, SN2612, S14AP,16.0,25.0,inf,22.0
8, SN2603, F423P,11.0,16.0,inf,10.0
9, SN2657, E412P,11.0,16.0,inf,15.0
10, SN2598, S122S,16.0,25.0,inf,22.0
11, SN2457, E511S,13.0,16.0,inf,19.0
12, SN2597, Y730C,12.0,16.0,inf,7.0
13, SN2601, H130S,16.0,25.0,inf,37.0
14, SN2614, S820P,16.0,25.0,inf,34.0
15,,,16.0,25.0,inf,
16,,,16.0,25.0,inf,
17,,,16.0,25.0,inf,
18,,,16.0,25.0,inf,
19,,,16.0,25.0,inf,
5,,,14.0,16.0,inf,
8,,,14.0,16.0,inf,
9,,,14.0,16.0,inf,
11,,,12.0,16.0,inf,
12,,,13.0,16.0,inf,
