,0
0,-25.448928833007812
1,-25.65961265563965
2,-25.373088836669922
3,-25.727210998535156
4,-25.863811492919922
5,-25.74365234375
6,-25.66959571838379
7,-25.58685874938965
8,-25.509607315063477
9,-25.702281951904297
10,-25.482440948486328
11,-25.579687118530273
12,-25.516433715820312
13,-25.959564208984375
14,-25.761123657226562
15,-25.703004837036133
16,-26.250837326049805
17,-26.0613956451416
18,-26.474260330200195
19,-26.69943618774414
20,-27.37322425842285
21,-27.02737045288086
22,-26.987201690673828
23,-27.040939331054688
24,-27.02094078063965
25,-26.82034683227539
26,-27.023448944091797
27,-26.884475708007812
28,-27.100791931152344
29,-27.01051139831543
30,-27.097169876098633
31,-27.605714797973633
32,-27.684907913208008
33,-28.049724578857422
34,-27.92885398864746
35,-27.501676559448242
36,-27.443302154541016
37,-27.520681381225586
38,-27.644371032714844
39,-29.104616165161133
40,-29.187149047851562
41,-31.43320083618164
42,-25.42477798461914
43,-26.279436111450195
44,-25.984024047851562
45,-25.64267921447754
46,-24.54840087890625
47,-24.271034240722656
48,-24.001548767089844
49,-23.623498916625977
50,-23.612272262573242
51,-23.751134872436523
52,-24.02290916442871
53,-24.14349365234375
54,-23.828405380249023
55,-23.414148330688477
56,-22.697038650512695
57,-23.19957160949707
58,-23.90130615234375
59,-23.500808715820312
60,-21.919063568115234
61,-22.29610824584961
62,-22.126667022705078
63,-21.09651756286621
64,-21.526168823242188
65,-20.643007278442383
66,-20.70236587524414
67,-21.573375701904297
68,-21.104639053344727
69,-21.53296661376953
70,-22.23439598083496
71,-22.840871810913086
72,-22.653133392333984
73,-23.719194412231445
74,-23.847877502441406
75,-23.375003814697266
76,-23.95530128479004
77,-23.755388259887695
78,-23.825057983398438
79,-24.149381637573242
80,-24.7725830078125
81,-24.55529022216797
82,-24.4100399017334
83,-24.292844772338867
84,-24.55902862548828
85,-24.89658546447754
86,-24.2562255859375
87,-25.191747665405273
88,-24.186567306518555
89,-25.39407730102539
90,-24.832843780517578
91,-25.0900936126709
92,-25.071378707885742
93,-24.54522705078125
94,-24.514284133911133
95,-24.469663619995117
96,-24.813940048217773
97,-24.745437622070312
98,-24.642560958862305
99,-24.19046974182129
100,-24.64638900756836
101,-24.90580940246582
102,-24.978614807128906
103,-24.718984603881836
104,-24.17495346069336
105,-23.676071166992188
106,-23.980945587158203
107,-23.69975471496582
108,-23.73054313659668
109,-23.90967559814453
110,-23.457950592041016
111,-23.3486328125
112,-23.501895904541016
113,-23.355777740478516
114,-23.3489990234375
115,-23.033666610717773
116,-22.56848907470703
117,-21.656599044799805
118,-22.36189842224121
119,-22.07843017578125
120,-21.826379776000977
121,-22.073564529418945
122,-22.12931251525879
123,-22.23672866821289
124,-22.20951271057129
125,-21.904211044311523
126,-21.85254669189453
127,-22.048568725585938
128,-21.915708541870117
129,-21.414852142333984
130,-21.319664001464844
131,-21.147932052612305
132,-20.977859497070312
133,-20.833057403564453
134,-20.276762008666992
135,-20.26526641845703
136,-20.470497131347656
137,-20.148038864135742
138,-19.753923416137695
139,-19.465177536010742
140,-18.5134220123291
141,-18.92001724243164
142,-18.32598876953125
143,-17.814035415649414
144,-17.163436889648438
145,-17.529565811157227
146,-18.35354995727539
147,-18.01904296875
148,-19.582977294921875
149,-19.496824264526367
150,-19.38532829284668
151,-19.60395622253418
152,-20.273883819580078
153,-19.944181442260742
154,-19.900461196899414
155,-18.538196563720703
156,-18.844362258911133
157,-19.81788444519043
158,-19.559263229370117
159,-20.078685760498047
160,-20.543222427368164
161,-20.409517288208008
162,-20.03277015686035
163,-20.628679275512695
164,-20.337791442871094
165,-21.037050247192383
166,-20.628366470336914
167,-19.847169876098633
168,-19.97596549987793
169,-20.556615829467773
170,-20.244604110717773
171,-20.68703842163086
172,-20.269744873046875
173,-20.069799423217773
174,-19.667314529418945
175,-20.312150955200195
176,-19.93072509765625
177,-20.65041732788086
178,-20.60021209716797
179,-20.446359634399414
180,-20.10262107849121
181,-20.44097137451172
182,-20.67997932434082
183,-20.39354705810547
184,-19.293806076049805
185,-19.786266326904297
186,-18.38823127746582
187,-19.32197380065918
188,-18.763813018798828
189,-19.08200454711914
190,-18.747087478637695
191,-18.416423797607422
192,-17.179584503173828
193,-17.960311889648438
194,-18.267864227294922
195,-17.63627052307129
196,-17.263139724731445
197,-16.375476837158203
198,-15.827600479125977
199,-15.20953369140625
