id,vessel_id,block,width,length,height,weight
0,SN2607,D718S,11.0,16.0,inf,6.0
1,SN2601,D340P,16.0,25.0,inf,33.0
2,SN2463,E731P,16.0,25.0,inf,28.0
3,SN2603,D190C,16.0,25.0,inf,44.0
4,SN2607,D361S,16.0,25.0,inf,38.0
5,SN2601,D500P,11.0,16.0,inf,5.0
6,SN2612,H120P,16.0,25.0,inf,35.0
7,SN2598,S150P,16.0,25.0,inf,47.0
8,SN2608,M210P,16.0,25.0,inf,54.0
9,SN2456,H120S,16.0,25.0,inf,48.0
10,SN2457,E410P,16.0,25.0,inf,39.0
11,SN2616,E51AP,12.0,16.0,inf,19.0
12,SN2627,D280S,16.0,25.0,inf,34.0
13,SN2463,S40AS,16.0,25.0,inf,28.0
14,,,16.0,25.0,inf,
15,,,16.0,25.0,inf,
16,,,16.0,25.0,inf,
17,,,16.0,25.0,inf,
18,,,16.0,25.0,inf,
19,,,16.0,25.0,inf,
0,,,14.0,16.0,inf,
5,,,14.0,16.0,inf,
11,,,13.0,16.0,inf,
