id,vessel_id,block,width,length,height,weight
0,SN2615,S091P,15.5,21.0,5.8,26.0
1,SN2601,D401P,15.5,21.0,5.8,37.0
2,SN2615,M830S,15.5,21.0,5.8,28.0
3,SN2615,S101S,15.5,21.0,5.8,22.0
4,SN2599,E414S,15.5,21.0,5.8,12.0
5,SN2591,E552C,15.5,21.0,5.8,19.0
6,SN2616,E140C,15.5,21.0,5.8,4.0
7,SN2615,S420S,15.5,21.0,5.8,17.0
8,SN2607,T310P,15.5,21.0,5.8,61.0
9,SN2463,E733S,15.5,21.0,5.8,8.0
10,SN2611,D190C,15.5,21.0,5.8,44.0
11,SN2616,H160P,15.5,21.0,5.8,14.0
12,SN2615,S420P,15.5,21.0,5.8,17.0
13,SN2612,F531S,15.5,21.0,5.8,11.0
14,SN2456,E450C,15.5,21.0,5.8,44.0
15,SN2591,S081P,15.5,21.0,5.8,22.0
16,SN2463,F731P,15.5,21.0,5.8,36.0
17,SN2616,L151S,15.5,21.0,5.8,34.0
18,SN2608,S20AS,15.5,21.0,5.8,10.0
19,SN2457,S191S,15.5,21.0,5.8,74.0
20,SN2615,F731S,15.5,21.0,5.8,21.0
21,SN2599,E512P,15.5,21.0,5.8,15.0
22,SN2457,H150P,15.5,21.0,5.8,26.0
23,SN2634,M220P,15.5,21.0,5.8,34.0
24,SN2598,T550P,15.5,21.0,5.8,14.0
25,SN2611,D840S,15.5,21.0,5.8,7.0
26,SN2591,S10XP,15.5,21.0,5.8,8.0
27,SN2607,T151C,15.5,21.0,5.8,94.0
28,SN2463,S094P,15.5,21.0,5.8,9.0
29,SN2609,E11EP,15.5,21.0,5.8,13.0
30,SN2598,S150S,15.5,21.0,5.8,47.0
31,,,15.5,21.0,5.8,
32,,,15.5,21.0,5.8,
33,,,15.5,21.0,5.8,
34,,,15.5,21.0,5.8,
35,,,15.5,21.0,5.8,
36,,,15.5,21.0,5.8,
37,,,15.5,21.0,5.8,
38,,,15.5,21.0,5.8,
39,,,15.5,21.0,5.8,
