id,vessel_id,block,width,length,height,weight
0,SN2607,S110S,23.0,25.0,inf,60.0
1,SN2457,S121P,23.0,25.0,inf,83.0
2,SN2612,S120P,23.0,25.0,inf,63.0
3,SN2608,B171P,23.0,25.0,inf,116.0
4,SN2612,S130S,23.0,25.0,inf,60.0
5,SN2603,D140C,23.0,25.0,inf,57.0
6,SN2612,S160P,23.0,25.0,inf,57.0
7,SN2603,D210C,23.0,25.0,inf,52.0
8,,,23.0,25.0,inf,
9,,,23.0,25.0,inf,
14,,,16.0,16.0,inf,
15,,,16.0,16.0,inf,
17,,,16.0,21.0,inf,
18,,,16.0,21.0,inf,
23,,,17.0,24.0,inf,
24,,,17.0,24.0,inf,
25,,,17.0,24.0,inf,
10,SN2616,B160P,16.0,16.0,inf,26.0
11,SN2634,E311S,16.0,16.0,inf,21.0
12,SN2591,S082P,16.0,16.0,inf,9.0
13,SN2591,S081S,16.0,16.0,inf,22.0
16,SN2615,E620S,16.0,21.0,inf,45.0
19,SN2616,D360P,17.0,24.0,inf,37.0
20,SN2611,D390P,17.0,24.0,inf,24.0
21,SN2464,E322P,17.0,24.0,inf,40.0
22,SN2457,A210C,17.0,24.0,inf,42.0
