id,vessel_id,block,width,length,height,weight
0,SN2598,Y900S,11.0,14.0,inf,23.0
1,SN2601,D500S,11.0,14.0,inf,5.0
2,SN2598,D340S,14.0,25.0,inf,33.0
3,SN2608,M210S,14.0,25.0,inf,54.0
4,SN2603,Y710C,12.0,14.0,inf,6.0
5,SN2611,D750S,14.0,25.0,inf,21.0
6,SN2608,F52BS,11.0,14.0,inf,6.0
7,SN2464,D29BS,13.0,14.0,inf,8.0
8,SN2464,D392P,14.0,25.0,inf,10.0
9,SN2463,F642P,11.0,14.0,inf,8.0
10,SN2608,M220S,14.0,25.0,inf,33.0
11,SN2612,T740P,14.0,25.0,inf,7.0
12,SN2607,F422P,14.0,25.0,inf,13.0
13,SN2590,E560C,14.0,25.0,inf,26.0
14,SN2603,Y730C,12.0,14.0,inf,7.0
15,SN2591,E140C,12.0,14.0,inf,4.0
16,SN2598,D370P,14.0,25.0,inf,34.0
17,SN2599,E412S,11.0,14.0,inf,16.0
18,SN2598,D400P,14.0,25.0,inf,35.0
19,SN2616,A411P,11.0,14.0,inf,3.0
20,SN2457,S40AP,14.0,25.0,inf,28.0
21,SN2612,F522S,12.0,14.0,inf,15.0
22,SN2607,D716S,13.0,14.0,inf,8.0
23,SN2608,H131P,14.0,25.0,inf,44.0
24,SN2457,H330S,14.0,25.0,inf,29.0
25,SN2464,D29BP,13.0,14.0,inf,7.0
26,SN2464,E62DS,11.0,14.0,inf,6.0
27,SN2457,S193S,14.0,25.0,inf,11.0
28,SN2598,D171S,14.0,25.0,inf,64.0
29,SN2607,M900S,11.0,14.0,inf,2.0
30,SN2611,D710S,14.0,25.0,inf,7.0
31,SN2612,T540S,11.0,14.0,inf,18.0
32,SN2616,S151S,14.0,25.0,inf,38.0
33,SN2463,S091P,14.0,25.0,inf,35.0
34,SN2612,S20AS,12.0,14.0,inf,10.0
35,SN2607,M900P,11.0,14.0,inf,2.0
36,SN2607,F423P,11.0,14.0,inf,10.0
37,SN2457,S195S,13.0,14.0,inf,10.0
38,SN2608,T741S,14.0,25.0,inf,42.0
39,SN2607,M110S,14.0,25.0,inf,80.0
40,SN2616,H170P,11.0,14.0,inf,10.0
41,SN2608,S13AS,14.0,25.0,inf,24.0
42,SN2598,D370S,14.0,25.0,inf,35.0
43,SN2612,T740S,14.0,25.0,inf,7.0
44,SN2457,S124P,14.0,25.0,inf,36.0
45,SN2608,M110S,14.0,25.0,inf,80.0
46,SN2634,M110S,14.0,25.0,inf,78.0
47,SN2464,E424S,11.0,14.0,inf,3.0
48,SN2591,E130C,14.0,25.0,inf,3.0
49,SN2463,F732S,11.0,14.0,inf,15.0
50,SN2464,E422S,11.0,14.0,inf,11.0
51,SN2599,E411S,11.0,14.0,inf,8.0
52,SN2598,D530S,14.0,25.0,inf,23.0
53,,,14.0,25.0,inf,
54,,,14.0,25.0,inf,
55,,,14.0,25.0,inf,
56,,,14.0,25.0,inf,
57,,,14.0,25.0,inf,
58,,,14.0,25.0,inf,
59,,,14.0,25.0,inf,
60,,,14.0,25.0,inf,
61,,,14.0,25.0,inf,
62,,,14.0,25.0,inf,
63,,,14.0,25.0,inf,
64,,,14.0,25.0,inf,
65,,,14.0,25.0,inf,
66,,,14.0,25.0,inf,
67,,,14.0,25.0,inf,
68,,,14.0,25.0,inf,
0,,,14.0,14.0,inf,
1,,,14.0,14.0,inf,
4,,,13.0,14.0,inf,
6,,,14.0,14.0,inf,
7,,,12.0,14.0,inf,
9,,,14.0,14.0,inf,
14,,,13.0,14.0,inf,
15,,,13.0,14.0,inf,
17,,,14.0,14.0,inf,
19,,,14.0,14.0,inf,
21,,,13.0,14.0,inf,
22,,,12.0,14.0,inf,
25,,,12.0,14.0,inf,
26,,,14.0,14.0,inf,
29,,,14.0,14.0,inf,
31,,,14.0,14.0,inf,
34,,,13.0,14.0,inf,
35,,,14.0,14.0,inf,
36,,,14.0,14.0,inf,
37,,,12.0,14.0,inf,
40,,,14.0,14.0,inf,
47,,,14.0,14.0,inf,
49,,,14.0,14.0,inf,
50,,,14.0,14.0,inf,
51,,,14.0,14.0,inf,
