vessel_id,block,length,width,weight,height,location
SN2615,S150S,15.0,13.0,25.0,3.1,´ö°î2
SN2615,S160S,15.0,13.0,24.0,3.1,´ö°î1
SN2614,E540S,15.0,14.0,33.0,3.4,¼ºµ¿
SN2612,D341S,20.0,14.0,49.0,4.1,´ö°î1
SN2607,F522S,12.0,11.0,15.0,3.6,´ö°î2
SN2598,D400P,22.0,13.0,35.0,4.2,ÇÑ³»
SN2455,W820S,19.0,11.0,18.0,2.3,´ö°î2
SN2455,W820P,19.0,11.0,18.0,2.3,ºÀ¾Ï9
SN2611,F540C,17.0,15.0,61.0,3.2,´ö°î2
SN2612,D341P,20.0,14.0,48.0,4.1,´ö°î2
SN2608,K191C,16.0,12.0,51.0,3.2,ºÀ¾Ï9
SN2601,D500S,11.0,8.0,5.0,2.4,ÇÑ³»
SN2601,D500P,11.0,8.0,5.0,2.4,OFD
SN2598,T350S,18.0,17.0,42.0,4.5,½ÅÇÑ³»
SN2591,E130C,16.0,12.0,3.0,4.7,ÇÑ³»
SN2612,S110S,22.0,21.0,62.0,8.3,¼ºµ¿
SN2607,S110S,22.0,21.0,60.0,8.1,¿Àºñ1
SN2463,S101S,20.0,12.0,45.0,2.5,´ö°î1
SN2611,F110P,15.0,13.0,21.0,3.5,´ö°î2
SN2463,S094S,11.0,10.0,9.0,2.6,ºÀ¾Ï9
SN2456,B180P,19.0,18.0,53.0,2.3,»ç³»
SN2607,D510S,24.0,11.0,35.0,6.7,»ç³»
SN2612,T320P,18.0,17.0,48.0,2.9,»ç³»
SN2456,B180S,19.0,18.0,53.0,2.3,»ç³»
SN2611,D740S,19.0,11.0,49.0,4.2,»ç³»
SN2608,T341S,18.0,17.0,72.0,2.8,»ç³»
SN2608,B171S,21.0,13.0,84.0,3.2,»ç³»
SN2611,D200C,20.0,18.0,43.0,1.9,»ç³»
SN2612,D311P,20.0,14.0,46.0,4.8,»ç³»
SN2463,S192S,20.0,11.0,30.0,2.6,»ç³»
SN2607,D341P,21.0,14.0,49.0,4.1,»ç³»
SN2612,H130S,21.0,12.0,33.0,6.5,»ç³»
SN2612,K190C,16.0,12.0,39.0,3.2,»ç³»
SN2612,S120S,22.0,19.0,64.0,5.4,»ç³»
SN2611,D540S,11.0,5.0,2.0,2.2,»ç³»
SN2454,S400P,20.0,18.0,76.0,5.2,»ç³»
SN2598,D400S,22.0,13.0,35.0,4.2,»ç³»
SN2463,S191S,20.0,13.0,74.0,2.5,»ç³»
SN2607,D311S,20.0,14.0,47.0,4.9,»ç³»
SN2457,S121S,22.0,20.0,83.0,2.5,»ç³»
SN2454,H210S,19.0,15.0,44.0,7.5,»ç³»
SN2601,D370S,21.0,14.0,35.0,4.4,»ç³»
SN2627,B110S,18.0,14.0,33.0,2.5,»ç³»
SN2601,D120C,20.0,16.0,48.0,1.9,»ç³»
SN2603,D710S,15.0,11.0,7.0,5.9,»ç³»
SN2601,D370P,21.0,14.0,36.0,4.4,»ç³»
SN2601,E150C,15.0,12.0,50.0,5.0,»ç³»
SN2608,B201P,15.0,11.0,50.0,3.2,»ç³»
SN2607,D341S,21.0,14.0,50.0,4.1,»ç³»
SN2612,K180C,15.0,12.0,31.0,3.2,»ç³»
