exp_num,gamma,doRewardMinus,doProbMinus,lr,hid_dim,objective
0,0.1,True,True,5e-05,64,21247616.0
1,0.1,True,True,5e-05,64,18276090.0
2,0.1,True,True,5e-05,64,19150188.0
3,0.1,True,True,5e-05,64,19826442.0
4,0.1,True,True,5e-05,64,19072094.0
5,0.1,True,True,5e-05,64,19322208.0
6,0.1,True,True,5e-05,64,18969762.0
7,0.1,True,True,5e-05,64,17518810.0
8,0.1,True,True,5e-05,64,18991532.0
9,0.1,True,True,5e-05,64,17767740.0
10,0.1,True,True,5e-05,64,19710730.0
11,0.1,True,True,5e-05,64,18098768.0
12,0.1,True,True,5e-05,64,17730490.0
13,0.1,True,True,5e-05,64,18123504.0
14,0.1,True,True,5e-05,64,18301398.0
15,0.1,True,True,5e-05,64,18218848.0
16,0.1,True,True,5e-05,64,17129610.0
17,0.1,True,True,5e-05,64,16368986.0
18,0.1,True,True,5e-05,64,19486960.0
19,0.1,True,True,5e-05,64,18086996.0
0,0.1,True,True,5e-05,128,20910778.0
1,0.1,True,True,5e-05,128,18308124.0
2,0.1,True,True,5e-05,128,18860356.0
3,0.1,True,True,5e-05,128,19849554.0
4,0.1,True,True,5e-05,128,18829144.0
5,0.1,True,True,5e-05,128,19168594.0
6,0.1,True,True,5e-05,128,18647496.0
7,0.1,True,True,5e-05,128,17406416.0
8,0.1,True,True,5e-05,128,18856656.0
9,0.1,True,True,5e-05,128,17705160.0
10,0.1,True,True,5e-05,128,19508452.0
11,0.1,True,True,5e-05,128,18098644.0
12,0.1,True,True,5e-05,128,17646220.0
13,0.1,True,True,5e-05,128,18057704.0
14,0.1,True,True,5e-05,128,18314240.0
15,0.1,True,True,5e-05,128,17809612.0
16,0.1,True,True,5e-05,128,16897232.0
17,0.1,True,True,5e-05,128,16356202.0
18,0.1,True,True,5e-05,128,19366432.0
19,0.1,True,True,5e-05,128,17637996.0
0,0.1,True,True,5e-05,256,20554444.0
1,0.1,True,True,5e-05,256,18099664.0
2,0.1,True,True,5e-05,256,18588032.0
3,0.1,True,True,5e-05,256,19751980.0
4,0.1,True,True,5e-05,256,18564800.0
5,0.1,True,True,5e-05,256,19089228.0
6,0.1,True,True,5e-05,256,18596572.0
7,0.1,True,True,5e-05,256,17104380.0
8,0.1,True,True,5e-05,256,18779564.0
9,0.1,True,True,5e-05,256,17639266.0
10,0.1,True,True,5e-05,256,19415486.0
11,0.1,True,True,5e-05,256,17912832.0
12,0.1,True,True,5e-05,256,17570666.0
13,0.1,True,True,5e-05,256,17913280.0
14,0.1,True,True,5e-05,256,18192000.0
15,0.1,True,True,5e-05,256,17806964.0
16,0.1,True,True,5e-05,256,16858154.0
17,0.1,True,True,5e-05,256,16252323.0
18,0.1,True,True,5e-05,256,19204896.0
19,0.1,True,True,5e-05,256,17595560.0
0,0.1,True,True,0.0001,64,20607780.0
1,0.1,True,True,0.0001,64,18232264.0
2,0.1,True,True,0.0001,64,18900872.0
3,0.1,True,True,0.0001,64,19785180.0
4,0.1,True,True,0.0001,64,18625456.0
5,0.1,True,True,0.0001,64,19310440.0
6,0.1,True,True,0.0001,64,18622316.0
7,0.1,True,True,0.0001,64,17338376.0
8,0.1,True,True,0.0001,64,18736160.0
9,0.1,True,True,0.0001,64,17690232.0
10,0.1,True,True,0.0001,64,19702172.0
11,0.1,True,True,0.0001,64,18030766.0
12,0.1,True,True,0.0001,64,17652886.0
13,0.1,True,True,0.0001,64,17906880.0
14,0.1,True,True,0.0001,64,18236936.0
15,0.1,True,True,0.0001,64,17793840.0
16,0.1,True,True,0.0001,64,16845484.0
17,0.1,True,True,0.0001,64,16309256.0
18,0.1,True,True,0.0001,64,19291248.0
19,0.1,True,True,0.0001,64,17640408.0
0,0.1,True,True,0.0001,128,20528312.0
1,0.1,True,True,0.0001,128,18105890.0
2,0.1,True,True,0.0001,128,18496030.0
3,0.1,True,True,0.0001,128,19730712.0
4,0.1,True,True,0.0001,128,18573526.0
5,0.1,True,True,0.0001,128,19078970.0
6,0.1,True,True,0.0001,128,18583666.0
7,0.1,True,True,0.0001,128,17198244.0
8,0.1,True,True,0.0001,128,18689602.0
9,0.1,True,True,0.0001,128,17658832.0
10,0.1,True,True,0.0001,128,19416514.0
11,0.1,True,True,0.0001,128,17934088.0
12,0.1,True,True,0.0001,128,17557302.0
13,0.1,True,True,0.0001,128,17888024.0
14,0.1,True,True,0.0001,128,18185446.0
15,0.1,True,True,0.0001,128,17740164.0
16,0.1,True,True,0.0001,128,16832626.0
17,0.1,True,True,0.0001,128,16248724.0
18,0.1,True,True,0.0001,128,19116222.0
19,0.1,True,True,0.0001,128,17579344.0
0,0.1,True,True,0.0001,256,20576310.0
1,0.1,True,True,0.0001,256,18047516.0
2,0.1,True,True,0.0001,256,18496234.0
3,0.1,True,True,0.0001,256,19701352.0
4,0.1,True,True,0.0001,256,18545192.0
5,0.1,True,True,0.0001,256,19082138.0
6,0.1,True,True,0.0001,256,18584614.0
7,0.1,True,True,0.0001,256,17110028.0
8,0.1,True,True,0.0001,256,18661398.0
9,0.1,True,True,0.0001,256,17618800.0
10,0.1,True,True,0.0001,256,19415238.0
11,0.1,True,True,0.0001,256,17898786.0
12,0.1,True,True,0.0001,256,17553672.0
13,0.1,True,True,0.0001,256,17854002.0
14,0.1,True,True,0.0001,256,18145348.0
15,0.1,True,True,0.0001,256,17757636.0
16,0.1,True,True,0.0001,256,16781680.0
17,0.1,True,True,0.0001,256,16230025.0
18,0.1,True,True,0.0001,256,19103388.0
19,0.1,True,True,0.0001,256,17569280.0
0,0.1,True,True,0.0005,64,20509578.0
1,0.1,True,True,0.0005,64,18033094.0
2,0.1,True,True,0.0005,64,18538136.0
3,0.1,True,True,0.0005,64,19690780.0
4,0.1,True,True,0.0005,64,18566388.0
5,0.1,True,True,0.0005,64,19061450.0
6,0.1,True,True,0.0005,64,18554108.0
7,0.1,True,True,0.0005,64,17118970.0
8,0.1,True,True,0.0005,64,18659840.0
9,0.1,True,True,0.0005,64,17631292.0
10,0.1,True,True,0.0005,64,19393194.0
11,0.1,True,True,0.0005,64,17890122.0
12,0.1,True,True,0.0005,64,17549604.0
13,0.1,True,True,0.0005,64,17833192.0
14,0.1,True,True,0.0005,64,18126196.0
15,0.1,True,True,0.0005,64,17744980.0
16,0.1,True,True,0.0005,64,16785654.0
17,0.1,True,True,0.0005,64,16210868.0
18,0.1,True,True,0.0005,64,19117830.0
19,0.1,True,True,0.0005,64,17515224.0
0,0.1,True,True,0.0005,128,20505432.0
1,0.1,True,True,0.0005,128,18008138.0
2,0.1,True,True,0.0005,128,18450842.0
3,0.1,True,True,0.0005,128,19689372.0
4,0.1,True,True,0.0005,128,18540968.0
5,0.1,True,True,0.0005,128,19035070.0
6,0.1,True,True,0.0005,128,18548092.0
7,0.1,True,True,0.0005,128,17109728.0
8,0.1,True,True,0.0005,128,18652804.0
9,0.1,True,True,0.0005,128,17630394.0
10,0.1,True,True,0.0005,128,19377150.0
11,0.1,True,True,0.0005,128,17891120.0
12,0.1,True,True,0.0005,128,17542598.0
13,0.1,True,True,0.0005,128,17838240.0
14,0.1,True,True,0.0005,128,18138084.0
15,0.1,True,True,0.0005,128,17725762.0
16,0.1,True,True,0.0005,128,16775148.0
17,0.1,True,True,0.0005,128,16217073.0
18,0.1,True,True,0.0005,128,19094388.0
19,0.1,True,True,0.0005,128,17488828.0
0,0.1,True,True,0.0005,256,20496340.0
1,0.1,True,True,0.0005,256,18009030.0
2,0.1,True,True,0.0005,256,18476960.0
3,0.1,True,True,0.0005,256,19682286.0
4,0.1,True,True,0.0005,256,18547104.0
5,0.1,True,True,0.0005,256,19048656.0
6,0.1,True,True,0.0005,256,18535708.0
7,0.1,True,True,0.0005,256,17148092.0
8,0.1,True,True,0.0005,256,18666976.0
9,0.1,True,True,0.0005,256,17633892.0
10,0.1,True,True,0.0005,256,19380736.0
11,0.1,True,True,0.0005,256,17897236.0
12,0.1,True,True,0.0005,256,17544084.0
13,0.1,True,True,0.0005,256,17817208.0
14,0.1,True,True,0.0005,256,18156876.0
15,0.1,True,True,0.0005,256,17746358.0
16,0.1,True,True,0.0005,256,16829806.0
17,0.1,True,True,0.0005,256,16213604.0
18,0.1,True,True,0.0005,256,19088952.0
19,0.1,True,True,0.0005,256,17492664.0
0,0.1,True,True,0.001,64,20503776.0
1,0.1,True,True,0.001,64,18008512.0
2,0.1,True,True,0.001,64,18481410.0
3,0.1,True,True,0.001,64,19687680.0
4,0.1,True,True,0.001,64,18554576.0
5,0.1,True,True,0.001,64,19043792.0
6,0.1,True,True,0.001,64,18545158.0
7,0.1,True,True,0.001,64,17106524.0
8,0.1,True,True,0.001,64,18653798.0
9,0.1,True,True,0.001,64,17608200.0
10,0.1,True,True,0.001,64,19408348.0
11,0.1,True,True,0.001,64,17894392.0
12,0.1,True,True,0.001,64,17538188.0
13,0.1,True,True,0.001,64,17843440.0
14,0.1,True,True,0.001,64,18138920.0
15,0.1,True,True,0.001,64,17721674.0
16,0.1,True,True,0.001,64,16855156.0
17,0.1,True,True,0.001,64,16224722.0
18,0.1,True,True,0.001,64,19100568.0
19,0.1,True,True,0.001,64,17522166.0
0,0.1,True,True,0.001,128,20491256.0
1,0.1,True,True,0.001,128,18006412.0
2,0.1,True,True,0.001,128,18481784.0
3,0.1,True,True,0.001,128,19688816.0
4,0.1,True,True,0.001,128,18550032.0
5,0.1,True,True,0.001,128,19043066.0
6,0.1,True,True,0.001,128,18539262.0
7,0.1,True,True,0.001,128,17092968.0
8,0.1,True,True,0.001,128,18648782.0
9,0.1,True,True,0.001,128,17606496.0
10,0.1,True,True,0.001,128,19399432.0
11,0.1,True,True,0.001,128,17887232.0
12,0.1,True,True,0.001,128,17536740.0
13,0.1,True,True,0.001,128,17844052.0
14,0.1,True,True,0.001,128,18128898.0
15,0.1,True,True,0.001,128,17718180.0
16,0.1,True,True,0.001,128,16782968.0
17,0.1,True,True,0.001,128,16222519.0
18,0.1,True,True,0.001,128,19101300.0
19,0.1,True,True,0.001,128,17521040.0
0,0.1,True,True,0.001,256,20523350.0
1,0.1,True,True,0.001,256,18008284.0
2,0.1,True,True,0.001,256,18475208.0
3,0.1,True,True,0.001,256,19682686.0
4,0.1,True,True,0.001,256,18556198.0
5,0.1,True,True,0.001,256,19044646.0
6,0.1,True,True,0.001,256,18557724.0
7,0.1,True,True,0.001,256,17096652.0
8,0.1,True,True,0.001,256,18655080.0
9,0.1,True,True,0.001,256,17626178.0
10,0.1,True,True,0.001,256,19405704.0
11,0.1,True,True,0.001,256,17869722.0
12,0.1,True,True,0.001,256,17547734.0
13,0.1,True,True,0.001,256,17831868.0
14,0.1,True,True,0.001,256,18134506.0
15,0.1,True,True,0.001,256,17750572.0
16,0.1,True,True,0.001,256,16771704.0
17,0.1,True,True,0.001,256,16210872.0
18,0.1,True,True,0.001,256,19111796.0
19,0.1,True,True,0.001,256,17488396.0
0,0.1,True,True,0.005,64,20490598.0
1,0.1,True,True,0.005,64,18004516.0
2,0.1,True,True,0.005,64,18454884.0
3,0.1,True,True,0.005,64,19685172.0
4,0.1,True,True,0.005,64,18542672.0
5,0.1,True,True,0.005,64,19070212.0
6,0.1,True,True,0.005,64,18538220.0
7,0.1,True,True,0.005,64,17109360.0
8,0.1,True,True,0.005,64,18657540.0
9,0.1,True,True,0.005,64,17632184.0
10,0.1,True,True,0.005,64,19412188.0
11,0.1,True,True,0.005,64,17884922.0
12,0.1,True,True,0.005,64,17538068.0
13,0.1,True,True,0.005,64,17823222.0
14,0.1,True,True,0.005,64,18138206.0
15,0.1,True,True,0.005,64,17769980.0
16,0.1,True,True,0.005,64,16817000.0
17,0.1,True,True,0.005,64,16210134.0
18,0.1,True,True,0.005,64,19074982.0
19,0.1,True,True,0.005,64,17534940.0
0,0.1,True,True,0.005,128,20492292.0
1,0.1,True,True,0.005,128,18005632.0
2,0.1,True,True,0.005,128,18446914.0
3,0.1,True,True,0.005,128,19692924.0
4,0.1,True,True,0.005,128,18551662.0
5,0.1,True,True,0.005,128,19101724.0
6,0.1,True,True,0.005,128,18552500.0
7,0.1,True,True,0.005,128,17109360.0
8,0.1,True,True,0.005,128,18652488.0
9,0.1,True,True,0.005,128,17614672.0
10,0.1,True,True,0.005,128,19359384.0
11,0.1,True,True,0.005,128,17868108.0
12,0.1,True,True,0.005,128,17547620.0
13,0.1,True,True,0.005,128,17827240.0
14,0.1,True,True,0.005,128,18150556.0
15,0.1,True,True,0.005,128,17725808.0
16,0.1,True,True,0.005,128,16792002.0
17,0.1,True,True,0.005,128,16226870.0
18,0.1,True,True,0.005,128,19136556.0
19,0.1,True,True,0.005,128,17495946.0
0,0.1,True,True,0.005,256,20532628.0
1,0.1,True,True,0.005,256,18007462.0
2,0.1,True,True,0.005,256,18482150.0
3,0.1,True,True,0.005,256,19735574.0
4,0.1,True,True,0.005,256,18544028.0
5,0.1,True,True,0.005,256,19045138.0
6,0.1,True,True,0.005,256,18548064.0
7,0.1,True,True,0.005,256,17132988.0
8,0.1,True,True,0.005,256,18718380.0
9,0.1,True,True,0.005,256,17655112.0
10,0.1,True,True,0.005,256,19544360.0
11,0.1,True,True,0.005,256,17897256.0
12,0.1,True,True,0.005,256,17569444.0
13,0.1,True,True,0.005,256,17882962.0
14,0.1,True,True,0.005,256,18130950.0
15,0.1,True,True,0.005,256,17736116.0
16,0.1,True,True,0.005,256,16796972.0
17,0.1,True,True,0.005,256,16224074.0
18,0.1,True,True,0.005,256,19095050.0
19,0.1,True,True,0.005,256,17515724.0
0,0.1,True,True,0.01,64,20487304.0
1,0.1,True,True,0.01,64,18040630.0
2,0.1,True,True,0.01,64,18460802.0
3,0.1,True,True,0.01,64,19699324.0
4,0.1,True,True,0.01,64,18534044.0
5,0.1,True,True,0.01,64,19094686.0
6,0.1,True,True,0.01,64,18552252.0
7,0.1,True,True,0.01,64,17115858.0
8,0.1,True,True,0.01,64,18661024.0
9,0.1,True,True,0.01,64,17617032.0
10,0.1,True,True,0.01,64,19396618.0
11,0.1,True,True,0.01,64,17901682.0
12,0.1,True,True,0.01,64,17535616.0
13,0.1,True,True,0.01,64,17819574.0
14,0.1,True,True,0.01,64,18148424.0
15,0.1,True,True,0.01,64,17722164.0
16,0.1,True,True,0.01,64,16783536.0
17,0.1,True,True,0.01,64,16234990.0
18,0.1,True,True,0.01,64,19104426.0
19,0.1,True,True,0.01,64,17519824.0
0,0.1,True,True,0.01,128,20490964.0
1,0.1,True,True,0.01,128,18009832.0
2,0.1,True,True,0.01,128,18500540.0
3,0.1,True,True,0.01,128,19704072.0
4,0.1,True,True,0.01,128,18542068.0
5,0.1,True,True,0.01,128,19057644.0
6,0.1,True,True,0.01,128,18550216.0
7,0.1,True,True,0.01,128,17142036.0
8,0.1,True,True,0.01,128,18662568.0
9,0.1,True,True,0.01,128,17620060.0
10,0.1,True,True,0.01,128,19355974.0
11,0.1,True,True,0.01,128,17905444.0
12,0.1,True,True,0.01,128,17538692.0
13,0.1,True,True,0.01,128,17875226.0
14,0.1,True,True,0.01,128,18136858.0
15,0.1,True,True,0.01,128,17740048.0
16,0.1,True,True,0.01,128,16845070.0
17,0.1,True,True,0.01,128,16223392.0
18,0.1,True,True,0.01,128,19224472.0
19,0.1,True,True,0.01,128,17522036.0
0,0.1,True,True,0.01,256,20511488.0
1,0.1,True,True,0.01,256,18043808.0
2,0.1,True,True,0.01,256,18485856.0
3,0.1,True,True,0.01,256,19706500.0
4,0.1,True,True,0.01,256,18539992.0
5,0.1,True,True,0.01,256,19067658.0
6,0.1,True,True,0.01,256,18569184.0
7,0.1,True,True,0.01,256,17217656.0
8,0.1,True,True,0.01,256,18689332.0
9,0.1,True,True,0.01,256,17646176.0
10,0.1,True,True,0.01,256,19367376.0
11,0.1,True,True,0.01,256,17898802.0
12,0.1,True,True,0.01,256,17542282.0
13,0.1,True,True,0.01,256,17873502.0
14,0.1,True,True,0.01,256,18140810.0
15,0.1,True,True,0.01,256,17743646.0
16,0.1,True,True,0.01,256,16801564.0
17,0.1,True,True,0.01,256,16213467.0
18,0.1,True,True,0.01,256,19134552.0
19,0.1,True,True,0.01,256,17511558.0
0,0.1,True,False,5e-05,64,21659460.0
1,0.1,True,False,5e-05,64,18738132.0
2,0.1,True,False,5e-05,64,19611904.0
3,0.1,True,False,5e-05,64,20087996.0
4,0.1,True,False,5e-05,64,19427228.0
5,0.1,True,False,5e-05,64,19837276.0
6,0.1,True,False,5e-05,64,19415662.0
7,0.1,True,False,5e-05,64,17709328.0
8,0.1,True,False,5e-05,64,19214728.0
9,0.1,True,False,5e-05,64,18058516.0
10,0.1,True,False,5e-05,64,20344420.0
11,0.1,True,False,5e-05,64,18522782.0
12,0.1,True,False,5e-05,64,18084336.0
13,0.1,True,False,5e-05,64,18357908.0
14,0.1,True,False,5e-05,64,18543266.0
15,0.1,True,False,5e-05,64,18498828.0
16,0.1,True,False,5e-05,64,17877232.0
17,0.1,True,False,5e-05,64,16590068.0
18,0.1,True,False,5e-05,64,19777450.0
19,0.1,True,False,5e-05,64,18430496.0
0,0.1,True,False,5e-05,128,21664232.0
1,0.1,True,False,5e-05,128,18751854.0
2,0.1,True,False,5e-05,128,19600276.0
3,0.1,True,False,5e-05,128,20057880.0
4,0.1,True,False,5e-05,128,19435922.0
5,0.1,True,False,5e-05,128,19815964.0
6,0.1,True,False,5e-05,128,19393600.0
7,0.1,True,False,5e-05,128,17741508.0
8,0.1,True,False,5e-05,128,19230322.0
9,0.1,True,False,5e-05,128,18049188.0
10,0.1,True,False,5e-05,128,20346204.0
11,0.1,True,False,5e-05,128,18527080.0
12,0.1,True,False,5e-05,128,18064392.0
13,0.1,True,False,5e-05,128,18395234.0
14,0.1,True,False,5e-05,128,18578842.0
15,0.1,True,False,5e-05,128,18497532.0
16,0.1,True,False,5e-05,128,17867132.0
17,0.1,True,False,5e-05,128,16601820.0
18,0.1,True,False,5e-05,128,19747282.0
19,0.1,True,False,5e-05,128,18424172.0
