length,width,height,count,location
14.0,13.0,5.8,1,봉암8
16.0,14.0,5.8,1,봉암8
17.0,13.0,5.8,1,봉암8
17.0,15.0,5.8,1,봉암8
18.0,14.0,5.8,1,봉암8
19.0,13.0,5.8,1,봉암8
21.0,12.0,5.8,1,봉암8
21.0,13.0,5.8,1,봉암8
21.0,17.0,5.8,1,봉암8
21.0,18.0,5.8,1,봉암8
21.0,21.0,5.8,1,봉암8
22.0,15.0,5.8,1,봉암8
22.0,21.0,5.8,1,봉암8
23.0,13.0,5.8,1,봉암8
23.0,17.0,5.8,1,봉암8
16.0,15.0,5.8,1,봉암8
19.0,14.0,5.8,1,봉암8
19.0,18.0,5.8,1,봉암8
20.0,17.0,5.8,1,봉암8
22.0,12.0,5.8,1,봉암8
22.0,13.0,5.8,1,봉암8
22.0,16.0,5.8,1,봉암8
22.0,20.0,5.8,1,봉암8
22.0,21.0,5.8,1,봉암8
23.0,18.0,5.8,1,봉암8
14.0,14.0,5.8,1,봉암9
15.0,13.0,5.8,1,봉암9
16.0,13.0,5.8,1,봉암9
18.0,12.0,5.8,1,봉암9
18.0,16.0,5.8,1,봉암9
19.0,15.0,5.8,1,봉암9
19.0,19.0,5.8,1,봉암9
20.0,15.0,5.8,1,봉암9
22.0,16.0,5.8,1,봉암9
22.0,19.0,5.8,1,봉암9
23.0,14.0,5.8,1,봉암9
23.0,21.0,5.8,1,봉암9
13.0,13.0,5.8,1,봉암9
15.0,15.0,5.8,1,봉암9
16.0,12.0,5.8,1,봉암9
17.0,14.0,5.8,1,봉암9
18.0,17.0,5.8,1,봉암9
19.0,14.0,5.8,1,봉암9
19.0,16.0,5.8,1,봉암9
20.0,13.0,5.8,1,봉암9
22.0,16.0,5.8,1,봉암9
23.0,17.0,5.8,1,봉암9
15.0,15.0,1000.0,2,덕곡1
22.0,12.0,1000.0,2,덕곡1
15.0,13.0,1000.0,1,덕곡1
17.0,13.0,1000.0,1,덕곡1
17.0,14.0,1000.0,1,덕곡1
18.0,13.0,1000.0,1,덕곡1
19.0,13.0,1000.0,1,덕곡1
20.0,17.0,1000.0,1,덕곡1
20.0,20.0,1000.0,1,덕곡1
21.0,12.0,1000.0,1,덕곡1
22.0,13.0,1000.0,1,덕곡1
