vessel_id,block,length,width,height,weight
 SN2601, D341S,20,13.7,4.1,52
 SN2601, D520S,21.4,9.7,6.9,35
 SN2612, B161S,19.5,15.7,3.2,92
 SN2457, E511P,5.2,12.8,2.8,21
 SN2457, E511S,5.2,12.8,2.8,19
 SN2598, S130P,15.7,20.5,8.1,49
 SN2598, S130S,15.7,20.5,8.1,49
 SN2601, S140P,20.5,18.1,5.4,59
 SN2603, T150C,15,19.8,2.8,58
 SN2603, T350P,15.8,16.7,2.8,33
 SN2457, B131P,20.3,18.4,2.2,83
 SN2457, B141S,18.8,24.4,2.2,76
 SN2612, B111P,21.3,15.8,3.2,115
 SN2601, D510S,21.9,9.4,7,36
 SN2603, D120C,15.9,19.9,2.7,47
 SN2603, T350S,15.8,15.7,2.8,32
 SN2598, B221S,14.9,14.6,3.2,74
 SN2601, D341P,20,13.7,4.1,49
 SN2612, B161P,19.5,15.7,3.2,102
 SN2627, S132P,17.2,3.3,2.1,0
 SN2627, S132S,17.2,3.3,2.1,0
 SN2457, B131S,20.3,18.4,2.2,75
 SN2598, T320P,25.2,14.9,3.1,69
 SN2601, S110P,20.8,20.9,8.3,58
 SN2601, S110S,20.8,20.9,8.3,58
 SN2601, T151C,15.4,19.7,2.8,104
 SN2603, D411S,19.6,12.5,4.3,43
 SN2611, D130C,15.5,19.9,1.9,48
 SN2611, D211S,19.6,9.9,1.9,43
 SN2603, D130C,15.5,19.9,1.9,47
 SN2611, D201P,17.3,10,1.9,37
 SN2612, B181S,14.9,9.9,3.4,27
 SN2612, T331P,17.4,16.4,2.8,84
 SN2612, T331S,17.4,15.5,2.8,76
 SN2627, S391P,17,12.1,2.6,58
 SN2455, S180S,17.3,28.9,5.4,39
 SN2463, D29AP,11.4,4.3,2,6
 SN2463, D29AS,9.2,4.3,2,5
 SN2601, D311S,19.7,13.8,4.9,51
 SN2603, D211P,19.6,10,1.9,44
 SN2611, D201S,17.3,9.9,1.9,36
 SN2612, B181P,14.9,9.9,3.4,27
 SN2627, S392P,17,3.3,2.1,0
 SN2627, S392S,17,3.3,2.1,0
 SN2456, B191P,19.7,15.9,2.4,71
 SN2456, B191S,19.7,15.9,2.4,64
 SN2601, B130S,21.6,16,3.2,66
 SN2603, D191P,15,10,1.9,33
 SN2603, D191S,15,9.9,1.9,31
 SN2603, D340P,20,13,4.2,31
 SN2603, D340S,20,13,4.2,31
 SN2611, T350S,15.7,15.7,2.8,32
 SN2603, D161P,15,10,1.9,34
 SN2603, D161S,15,9.9,1.9,34
 SN2603, D530S,15.5,5,2.2,16
 SN2627, B130P,17.2,24.6,2.3,72
 SN2627, B130S,17.2,24.6,2.3,71
