길이	폭	높이	중량
20	13.7	4.1	52
21.4	9.7	6.9	35
19.5	15.7	3.2	92
5.2	12.8	2.8	21
5.2	12.8	2.8	19
15.7	20.5	8.1	49
15.7	20.5	8.1	49
20.5	18.1	5.4	59
15	19.8	2.8	58
15.8	16.7	2.8	33
20.3	18.4	2.2	83
18.8	24.4	2.2	76
21.3	15.8	3.2	115
21.9	9.4	7	36
15.9	19.9	2.7	47
15.8	15.7	2.8	32
14.9	14.6	3.2	74
20	13.7	4.1	49
19.5	15.7	3.2	102
17.2	3.3	2.1	0
17.2	3.3	2.1	0
20.3	18.4	2.2	75
25.2	14.9	3.1	69
20.8	20.9	8.3	58
20.8	20.9	8.3	58
15.4	19.7	2.8	104
19.6	12.5	4.3	43
15.5	19.9	1.9	48
19.6	9.9	1.9	43
15.5	19.9	1.9	47
17.3	10	1.9	37
14.9	9.9	3.4	27
17.4	16.4	2.8	84
17.4	15.5	2.8	76
17	12.1	2.6	58
17.3	28.9	5.4	39
11.4	4.3	2	6
9.2	4.3	2	5
19.7	13.8	4.9	51
19.6	10	1.9	44
17.3	9.9	1.9	36
14.9	9.9	3.4	27
17	3.3	2.1	0
17	3.3	2.1	0
19.7	15.9	2.4	71
19.7	15.9	2.4	64
21.6	16	3.2	66
15	10	1.9	33
15	9.9	1.9	31
20	13	4.2	31
20	13	4.2	31
15.7	15.7	2.8	32
15	10	1.9	34
15	9.9	1.9	34
15.5	5	2.2	16
17.2	24.6	2.3	72
17.2	24.6	2.3	71
19.2	11.5	3.3	41
17.6	16.7	2.6	74
17.6	16.7	2.6	74
15	16.2	3.1	84
21.9	13.3	4.7	53
5.1	11.2	2.6	11
5.1	11.2	3.5	13
20	10	1.9	52
20	9.9	1.9	52
9.2	15	2.3	31
9.2	15	2.3	31
17.6	16.7	2.6	74
17.6	16.7	2.6	74
20	19.9	1.9	47
15	16.2	3.1	77
20.8	15.3	2.6	93
20.8	15.3	2.6	93
19.6	12.4	4.3	37
15.7	15.7	2.6	78
20.8	5.7	2.8	32
20.8	5.7	2.8	32
19.6	13.5	5.3	32
19.6	13.5	4.3	33
20	16.2	3.1	118
15.7	15.7	2.6	81
15.7	15.7	2.6	81
15.7	15.7	2.6	78
20.5	16	3.2	111
20.5	16	3.2	102
16.7	3.5	2.3	0
16.7	3.5	2.3	0
20	16.2	3.1	108
20	16	3.2	100
15	15	2.8	72
15	15.2	2.8	88
15.5	10	1.9	31
15.5	10	1.9	36
15.5	9.9	1.9	36
20	16	3.2	109
17.6	14.1	2.6	63
16.7	8.9	2.5	38
20.1	19.9	1.9	55
17.5	16.5	2.9	82
17.5	15.7	2.9	74
15.5	9.9	1.9	30
17.4	15.5	2.9	46
17.6	14.1	2.6	63
16.7	8.9	2.5	38
21.6	16	3.2	143
21.6	16	3.2	131
15.5	10	1.9	36
15.5	9.9	1.9	36
21.5	18.1	5.4	63
21.5	18.1	5.4	64
20.4	18.1	5.4	60
20.4	18.1	5.4	61
17.4	16.4	2.9	48
15	19.8	2.7	98
17.2	24.6	2.3	67
17.2	24.6	2.3	61
17	3.5	1.8	0
17	3.5	1.8	0
15.7	16.2	3.1	101
15.7	16.2	3.1	111
14.2	9.7	3.2	52
14.2	9.7	3.2	44
20.4	18.1	5.4	62
20.4	18.1	5.4	61
13.4	16.4	2.9	44
13.4	15.5	2.9	42
18.5	14.9	3.1	85
18.5	15.5	3.1	94
15.9	10	1.9	32
19.8	13.8	4.1	48
17.4	5	2.2	16
15	19.8	2.7	98
17.2	18.4	2.3	53
17.2	18.3	2.3	53
20.8	18.1	5.4	60
20.8	18.1	5.4	60
19.3	13.3	3.3	42
19.3	13.3	3.3	42
15.9	9.9	1.9	33
19.8	13.8	4.1	48
15.7	16.7	2.7	66
15.7	15.7	2.7	51
20.4	15.7	3.2	71
20.4	15.7	3.2	69
15.7	16.2	3.1	90
16.1	16.2	3.1	98
7.2	14.9	3	33
7.2	15.5	3	38
14.2	9.7	3.2	52
14.2	9.7	3.2	44
20	13.8	4.1	49
20.8	18.1	5.4	60
20.8	18.1	5.4	60
20.8	15.7	3.2	61
20.8	16	3.2	120
20.8	16	3.2	109
15.7	15.7	2.7	51
11.2	7	2.5	17
11.2	7	2.5	17
19.2	9.6	2.5	41
19.2	9.6	2.5	41
21.5	15.7	3.2	68
21.5	18.1	5.4	64
20.6	18.1	5.4	59
19.5	18.1	5.4	57
19.5	18.1	5.4	57
17.1	27.1	2.5	112
20.1	16.3	3.1	120
20.1	16.3	3.1	127
13.5	15.6	2.9	74
15	15	2.7	86
20.8	15.7	3.2	60
13.4	16.4	2.9	44
14.9	12	3.2	31
21.3	20.9	8.3	62
15.4	15.8	2.8	32
17.6	19.2	5.2	76
20.1	13.5	4.4	34
15.4	16.8	4.5	36
19.6	10	1.9	44
19.6	9.9	1.9	43
15.8	15	2.7	75
13.4	14.3	2.9	33
17	10.8	2.3	41
17	10.8	2.3	34
19.7	10	1.9	46
17.6	19.2	5.2	76
15.4	10.1	1.9	34
15.4	10	1.9	34
14.9	10.2	1.9	34
14.9	10	1.9	33
20	10	1.9	46
20.4	15.4	2.6	83
15	14.8	2.7	71
15	15	2.7	86
21.5	15.7	3.2	68
21.5	15.7	3.2	66
21.6	15.3	2.6	101
21.6	15.3	2.6	101
20	9.9	1.9	52
17.6	3.5	1.8	0
17.6	3.5	1.8	0
19.2	3.3	2.1	0
19.2	3.3	2.1	0
9.2	4.3	2	4
13	4.3	2	7
12.6	4.3	2	8
15.8	4.3	2	10
20	16.2	3.1	65
20	16.2	3.1	66
19.7	13.8	4.9	48
16	6.8	2.1	16
12.3	4.6	1	6
15.9	14.9	2.8	73
17.5	16.5	2.9	44
17.5	15.7	2.9	42
20	10	1.9	46
20	9.9	1.9	45
20.8	5.4	2.7	24
20.8	5.4	2.7	24
20	10	1.9	46
20	9.9	1.9	45
20	13	4.2	31
20	13	4.2	31
7.9	5.1	2.4	4
7.9	5.1	2.4	4
15.5	5	2.2	16
20.6	15.7	3.2	121
19.5	5.4	2.7	21
19.5	5.4	2.7	21
15.7	16.7	2.8	33
20	16	3.2	70
21.6	16	3.2	66
17.3	28.9	5.4	39
18.3	6.8	1	15
18.3	6.6	1	14
20.7	5.3	2.8	32
20.7	5.3	2.8	32
17.5	19.9	1.9	43
18.5	15.7	2.3	46
15	10	1.9	34
15	9.9	1.9	34
20.5	16	3.2	71
20.5	16	3.2	70
22	6.4	1	15
21.6	11.1	6.5	37
19.6	20	3.5	53
13.1	7.5	2.5	7
19.7	10.3	3.4	45
19.2	11.5	3.3	41
15.9	14.7	2.8	60
14.8	11.5	8.2	10
15.7	16.2	3.1	50
19.6	19.9	2.7	52
8.3	20.4	3.3	25
14.5	20.1	8	33
20.8	5.4	2.7	24
20.8	5.4	2.7	24
16.3	14.7	3.2	61
15	10	1.9	33
19.6	12.5	4.1	43
15	9.9	1.9	31
15	15.1	2.8	77
5.4	18.9	2.3	18
5.4	18.9	2.3	18
15.8	4.3	2	8
20	16	3.2	69
17.3	10	1.9	37
16.5	17.4	5.9	28
17.2	22.5	2.5	106
17.2	22.5	2.5	106
21.9	13.3	4.7	52
9.1	7.5	2.5	6
13.5	15.6	2.9	41
14.5	14	3.1	20
14.8	11.5	8.2	10
14.5	14	3.1	19
20	23.7	3.4	60
20.2	4.9	2	16
19.2	4.9	2	13
13.5	16.5	2.9	43
20.5	8.9	3.3	26
20.5	8.9	3.3	26
7.9	5.1	2.4	4
7.9	5.1	2.4	4
20.1	15.7	2.6	101
20.1	15.7	2.6	101
10	12.5	2.2	16
20	19.9	1.9	57
20	15.8	2.2	66
17.1	13.5	4.4	38
16.1	16.2	3.1	53
19.6	13	4.1	37
6.6	15.3	4.3	18
18.3	6.6	1	14
17.3	13.8	4.1	37
6.6	13.8	4.7	23
5.4	18.9	2.3	18
5.4	18.9	2.3	18
20.2	4.9	2	15
19.2	4.9	2	19
20.1	15.3	2.6	84
14.2	17.8	5.2	29
17.3	13.8	4.1	37
17.3	13.8	4.1	37
19.7	19.9	2.5	52
17.1	13.5	4.4	39
15.5	10	1.9	30
19.8	13.8	4.1	48
19.8	13.8	4.1	48
2.1	13.5	2.4	7
7.1	3.7	2.7	7
20	15.7	2.6	98
17.3	13	4.2	30
17.3	13	4.2	30
15.5	9.9	1.9	31
17.5	18.4	2.6	54
17.5	18.3	2.6	53
17.7	16.8	5.2	26
14.1	11.3	2.2	24
15.5	10	1.9	30
15.5	9.9	1.9	31
17.3	13.8	4.1	37
20.1	13.5	4.4	35
20.1	13.5	4.4	35
17.6	3.5	1.8	0
17.6	3.5	1.8	0
17.6	16.4	2.3	62
15.4	19.9	2.5	44
15.5	19.9	2.7	45
15	19.9	1.9	44
16.5	17.4	5.9	27
17.7	11.8	5.6	0
20	19.9	1.9	55
19.8	13	4.2	32
20	19.9	1.9	57
13.3	17.2	4.6	26
15.5	19.9	2.7	43
14.9	19.9	1.9	42
15	19.9	1.9	43
19.8	13	4.2	32
5.2	20	3	19
5.2	20.6	3	22
18	9.9	2.6	36
18	9.9	2.6	36
20.4	15.7	3.2	69
15.5	19.9	1.9	48
19.3	24.4	3.3	101
19.3	24.4	3.3	101
17.4	16.6	2.9	47
17.4	15.5	2.9	45
15.9	13.5	4.4	25
19.7	13.6	5.3	34
15.9	19.9	2.7	47
20.7	14.8	5.7	79
10.5	16.8	7.7	34
1.8	19	0.7	9
1.8	20	0.7	10
17.3	16.7	1.9	55
15.1	12.8	7.8	24
15.1	13.3	7.8	29
15.3	13.6	5.2	22
3.4	12.2	5.8	46
18.5	6.8	6.2	19
18	20.9	8	51
2.5	18.8	3.7	14
6.4	13.5	4.7	22
18	20.9	8	53
18.1	26.5	8.2	0
18.3	18.8	8	35
18.3	18.8	8	35
18	40.9	6	0
7.5	12.3	3.1	32
20.4	15.7	3.2	71
17.4	16.4	2.9	48
17	12.3	4.7	28
13.4	16.4	2.9	44
1.8	22	0.7	11
1.8	23	0.7	11
12.4	21.7	6.6	84
19.7	12.2	9.1	22
19.7	12.2	9.1	23
18.1	13.7	5.6	66
20.1	13.5	4.4	33
21.5	11.2	6.4	35
20.7	15.6	5.7	58
17.4	16.4	2.9	48
6.6	8.1	5.8	23
11.7	19.3	5.2	34
12.7	21.9	6.9	0
14.6	14.6	7.2	34
7.8	4.6	2.4	5
20	13	4.2	31
21	16.1	5.7	69
21.1	14	5.6	75
20.4	11.2	6.4	33
17.6	13.5	6.7	33
5.4	5.7	2.7	7
5.4	5.7	2.7	7
16.8	16.8	4.3	31
30.2	17.8	5.5	0
15	13.4	5	25
15	13.4	5	25
20.8	13.7	5.3	51
23.1	18.8	5.2	97
20.4	11.2	6.4	33
18	20.9	8	51
13.2	8.7	7.8	5
13.2	8.7	7.8	0
17.1	17.5	6.4	56
12	15.5	4.7	3
30.2	20.5	5.5	0
13.4	14.9	7.1	38
15	19.8	2.8	58
5.9	18.8	4.9	18
12.4	23.1	6.6	88
13.4	13.5	2.9	30
17.4	16.2	2.9	45
13.9	23.6	5.2	54
20.7	15.6	5.7	58
11.6	10.2	2.4	20
15.3	7.9	5.2	5
17.9	10.8	3.8	38
21.1	18.8	5.2	84
17	12.3	4.7	28
9.8	4.9	1.8	6
10.4	20.2	5.2	64
18.2	21.4	2.2	48
24.8	13.4	5.7	0
17.6	16.4	2.3	62
12.4	22.7	5.2	46
24.8	13.4	5.7	0
5.3	4.9	2.9	3
5.3	4.9	2.9	3
21.7	13.7	5.6	73
20.8	19.2	5.2	102
23.1	18.8	5.2	99
2.5	18.8	3.7	14
16	8.8	8.9	23
11.7	5.2	4.3	11
12.7	21.1	6.9	0
20.8	13.7	5.3	49
21.3	15.8	3.2	65
11.7	6.3	6.6	11
4.7	14.4	5.1	18
21.3	15.8	3.2	67
5.2	14.1	2.8	12
9.8	4.9	1.8	6
17.3	28.9	5.4	38
19.7	10.1	5.9	48
4.7	14.4	5.1	18
5.9	18.8	4.9	18
11.7	5.2	4.3	11
18.4	10.5	4.6	28
20.8	13.7	5.3	51
12	12	4	6
14.2	39.1	5.1	0
15	27.4	5.9	0
14.1	11.3	2.2	24
10	16	12	
12.7	26	6.6	0
22.9	42	11.1	0
39	47.8	6.2	0
8.5	13	2.1	18
32	13.5	6.3	0
10	10	12	
10	10	12	
10	10	12	
17	36.5	8	0
10	10	12	
10	10	12	
10	10	12	
10	10	12	
10	10	12	
10	10	12	
10	10	12	
10	10	12	
10	10	12	
10	10	12	
10	10	12	
