,PROJ_NO,BLK_NO,LTH,BTH,HGT,NET_WGT,WKA_CD,DTL_ARNO_CD,MODI_WKA_DESC,WK_NM,IA_NOW_P_STG,NOW_CODE_DESC,IA_NOW_STDT,IA_NOW_FNDT,IM_NOW_FNDT,IA_NOW_SCTN_CD,IA_NOW_WKA_NM,IA_NOW_WK_CENT_DSC,IA_AF_BLK_NO,IA_AF_P_STG,AF_CODE_DESC,IA_AF_STDT,IA_AF_FNDT,IM_AF_STDT,IA_AF_SCTN_CD,IA_AF_WK_CENT,IA_AF_WKA_NM,IA_AF_WK_CENT_DSC,LOGI_UPLOAD_DT,LOGI_CHK_DT,LOGI_CHK_DESC,TRNS_FNDT,EXP_PRE_OUTFIT_STDT,IA_AF_STDT_HIS,TB_NM,IN_OUT_AREA,ACCUM_YN,LEN_PROJ_NO,LEN_BLK_NO,LOG_TIME,NOW_WORK,CHECK_CUR_JOB,CHECK_NEXT_JOB,LOGI_BUFFER_TIME,CHECK_SIZE,CHECK_DAY_NIGHT,CHECK_WORK,CHECK_IN,RANK
0,SN2601,E150C,11.900,14.700,5.000,50.000,HNE,08,HNE-08,부수이동,OU,올리기(BLOCK LIFT UP),20240312,2024-03-12,20240228,생산2,Z,구매공통작업장,E11VC,TH,PE 족장해체(PE DESTAGING),20240417,2024-04-17,,,,,,20240202,20240202,도장,20240311,,,TB_ZENI_NOW_P_STG_NOT_NULL,사내,작업장,6,5,2024-03-12 08:00:17.310,STOCK,0,0,35,1,0,1,1,1
1,SN2455,F30GC,9.000,18.200,7.900,0.000,HNE,10,HNE-10,부수이동,OU,올리기(BLOCK LIFT UP),20240312,2024-03-12,20240221,생산2,3K,선행도장부선행도장1과,B23VC,TH,PE 족장해체(PE DESTAGING),20240411,2024-04-11,,생산2,1G43200,8Q,족장부족장2과,20240228,20240228,도장,20240311,,,TB_ZENI_NOW_P_STG_NOT_NULL,사내,작업장,6,5,2024-03-12 08:00:17.310,STOCK,0,0,29,1,0,1,1,2
2,SN2603,D710S,14.500,5.200,5.900,7.000,GC01,01,GC01-01,부수이동,R,TURN OVER,20240312,2024-03-12,20240306,생산2,3K,선행도장부선행도장1과,D71GS,T,TOUCH UP,20240408,2024-04-15,,,,,,20240229,20240229,도장,20240311,,,TB_ZENI_NOW_P_STG_NOT_NULL,사내,작업장,6,5,2024-03-12 08:00:17.310,STOCK,0,0,26,1,0,1,1,3
3,SN2454,H210S,18.300,15.000,7.500,44.000,HNC,08,HNC-08,부수이동,OU,올리기(BLOCK LIFT UP),20240311,2024-03-11,20240222,생산2,,,B21UC,TH,PE 족장해체(PE DESTAGING),20240403,2024-04-03,,,,,,20240311,20240311,도장,20240311,,,TB_ZENI_NOW_P_STG_NOT_NULL,사내,작업장,6,5,2024-03-12 08:00:17.310,STOCK,0,0,21,1,0,1,1,4
4,SN2615,S150S,13.000,15.000,3.100,25.000,RD40,18,RD40-18,부수이동,OU,올리기(BLOCK LIFT UP),20240312,2024-03-12,20240226,생산1,3K,선행도장부선행도장1과,B14VC,TH,PE 족장해체(PE DESTAGING),20240401,2024-04-01,,,,,,20240305,20240305,도장,20240312,,,TB_ZENI_NOW_P_STG_NOT_NULL,사내,작업장,6,5,2024-03-12 08:00:17.310,STOCK,0,0,19,1,0,1,1,5
5,SN2615,S160S,12.900,15.000,3.100,24.000,RD40,18,RD40-18,부수이동,OU,올리기(BLOCK LIFT UP),20240312,2024-03-12,20240228,생산1,3K,선행도장부선행도장1과,B14VC,TH,PE 족장해체(PE DESTAGING),20240401,2024-04-01,,,,,,20240229,20240229,도장,20240311,,,TB_ZENI_NOW_P_STG_NOT_NULL,사내,작업장,6,5,2024-03-12 08:00:17.310,STOCK,0,0,19,1,0,1,1,6
6,SN2614,E540S,15.000,14.000,3.400,33.000,HNB,04,HNB-04,부수이동,OU,올리기(BLOCK LIFT UP),20240312,2024-03-12,20240220,생산2,3K,선행도장부선행도장1과,E51UC,TH,PE 족장해체(PE DESTAGING),20240329,2024-03-29,,,,,,20240308,20240308,도장,20240312,,,TB_ZENI_NOW_P_STG_NOT_NULL,사내,작업장,6,5,2024-03-12 08:00:17.310,STOCK,0,0,16,1,0,1,1,7
7,SN2611,D540S,3.500,5.000,2.200,2.000,PS2,09,PS2-09,부수이동,OU,올리기(BLOCK LIFT UP),20240312,2024-03-12,20240229,생산2,3K,선행도장부선행도장1과,D34GS,T,TOUCH UP,20240325,2024-03-28,,,,,,20240305,20240305,도장,20240305,,,TB_ZENI_NOW_P_STG_NOT_NULL,사내,적치장,6,5,2024-03-12 08:00:17.310,STOCK,0,0,12,1,0,1,1,8
8,SN2612,D341S,20.000,13.800,4.100,49.000,3J,04,3J-04,부수이동,OP,내업의장,20240306,2024-03-12,20240313,생산2,3J,선행의장부선행의장1과,D340S,A,대조립(ASSEMBLY),20240325,2024-04-01,,,,,,20240304,20240305,조립,20240305,20240306,,TB_ZENI_NOW_P_STG_NOT_NULL,사내,적치장,6,5,2024-03-12 08:00:17.310,STOCK,2,1,12,1,0,1,1,9
9,SN2612,H130S,20.800,11.200,6.500,33.000,HZ02,14,HZ02-14,부수이동,OU,올리기(BLOCK LIFT UP),20240311,2024-03-11,20240304,생산2,,,B13GS,TH,PE 족장해체(PE DESTAGING),20240322,2024-03-22,,,,,,20240223,20240224,선행의장,20240306,,,TB_ZENI_NOW_P_STG_NOT_NULL,사내,적치장,6,5,2024-03-12 08:00:17.310,STOCK,0,0,9,1,0,1,1,10
