Unnamed: 0,vessel_id,block,length,width,height,weight,location,priority,not_in
0,A,A1,10,10.5,10.5,16,WY,1,
1,B,B2,10,10.5,5,26,WY,2,
2,C,C3,10,10.5,6.6,72,WY,3,
3,D,D4,10,10.5,1,66,WY,4,
4,E,E5,10,10.5,1,23,WY,5,
5,F,F6,10,10.5,1,67,WY,6,
6,G,G7,15,13,1,121,WY,7,
7,H,H8,15,13,1,67,WY,8,
8,I,I9,15,13,1,18,WY,9,
9,J,J10,15,13,1,60,WY,10,
10,K,K11,15,13,1,49,WY,11,
11,L,L12,15,13,1,21,WY,12,
12,M,M13,15,10.5,1,120,WY,13,
13,N,N14,15,10.5,1,47,WY,14,
14,O,O15,15,10.5,1,7,WY,15,
15,P,P16,15,10.5,1,7,WY,16,
16,Q,Q17,15,10.5,1,7,WY,17,
17,R,R18,15,10.5,1,7,WY,18,
18,S,S19,18,13,1,7,WY,19,
19,T,T20,18,13,1,7,WY,20,
19,U,U21,18,13,1,7,WY,21,
19,V,V22,18,13,1,7,WY,22,
19,W,W23,18,13,1,7,WY,23,
19,X,X24,18,13,1,7,WY,24,
19,Y,Y25,18,10.5,1,7,WY,25,
19,Z,Z26,18,10.5,1,7,WY,26,
19,AA,AA27,18,10.5,1,7,WY,27,
19,AB,AB28,18,10.5,1,7,WY,28,
19,AC,AC29,18,10.5,1,7,WY,29,
19,AD,AD30,18,10.5,1,7,WY,30,
19,AE,AE31,21,15,1,7,WY,31,
19,AF,AF32,21,15,1,7,WY,32,
19,AG,AG33,21,15,1,7,WY,33,
19,AH,AH34,21,15,1,7,WY,34,
19,AI,AI35,21,15,1,7,WY,35,
19,AJ,AJ36,21,15,1,7,WY,36,
33,AK,AK37,16,11,2,10,SY1,1,
